        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J),              E_elec[4] (J),               E_mag[4] (J),               E_cap[4] (J),               E_ind[4] (J)
 8.00000000e+01,        +7.379860929976e-13,        +1.102688491499e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.384516057407e-13,        +1.102559619223e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.381085375618e-13,        +1.102738930182e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.382193598347e-13,        +1.103351860127e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.16000000e+01,        +7.407880012137e-13,        +1.112869371585e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.412777746845e-13,        +1.112762563982e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.409188890490e-13,        +1.112937146474e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.410421846624e-13,        +1.113559766484e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.32000000e+01,        +7.441674283145e-13,        +1.123347722031e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.446827289531e-13,        +1.123264412906e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.443072800190e-13,        +1.123433579647e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.444439930945e-13,        +1.124066320741e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.48000000e+01,        +7.481474552823e-13,        +1.134128121226e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.486896189966e-13,        +1.134069776204e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.482968209259e-13,        +1.134232823644e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.484479469309e-13,        +1.134876127267e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.64000000e+01,        +7.527513915281e-13,        +1.145214805168e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.533218261376e-13,        +1.145182919263e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.529108519450e-13,        +1.145339128999e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.530774394242e-13,        +1.145993446144e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.80000000e+01,        +7.580027427206e-13,        +1.156611571655e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.586029301417e-13,        +1.156607666266e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.581729107712e-13,        +1.156756306778e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.583560629226e-13,        +1.157422096809e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.96000000e+01,        +7.639251640283e-13,        +1.168321672814e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.645566621213e-13,        +1.168347292107e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.641066858090e-13,        +1.168487620863e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.643075618486e-13,        +1.169165349981e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.12000000e+01,        +7.705423965013e-13,        +1.180347694971e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.712068404865e-13,        +1.180404401522e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.707359524789e-13,        +1.180535667502e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.709557687269e-13,        +1.181225806822e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.28000000e+01,        +7.778781841177e-13,        +1.192691424826e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.785772874517e-13,        +1.192780794436e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.780844901586e-13,        +1.192902241156e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.783245207721e-13,        +1.193605264320e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.44000000e+01,        +7.859561688249e-13,        +1.205353700963e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.866917234121e-13,        +1.205477316531e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.861759770854e-13,        +1.205588185616e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.864375543484e-13,        +1.206304565896e-12,        +0.000000000000e+00,        +0.000000000000e+00
