        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            Re{I[3][1]} (A),            Im{I[3][1]} (A),            Re{I[4][1]} (A),            Im{I[4][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A),            Re{I[3][2]} (A),            Im{I[3][2]} (A),            Re{I[4][2]} (A),            Im{I[4][2]} (A),            I_inc[3][3] (A),            Re{I[1][3]} (A),            Im{I[1][3]} (A),            Re{I[2][3]} (A),            Im{I[2][3]} (A),            Re{I[3][3]} (A),            Im{I[3][3]} (A),            Re{I[4][3]} (A),            Im{I[4][3]} (A),            I_inc[4][4] (A),            Re{I[1][4]} (A),            Im{I[1][4]} (A),            Re{I[2][4]} (A),            Im{I[2][4]} (A),            Re{I[3][4]} (A),            Im{I[3][4]} (A),            Re{I[4][4]} (A),            Im{I[4][4]} (A)
 8.00000000e+01,        +1.414213562373e-01,        +6.972000316573e-02,        +2.944449090484e-02,        +3.961235159535e-02,        -4.477935622055e-02,        +1.302282049248e-02,        -7.201823604290e-02,        +2.777483817937e-02,        -5.304565687947e-02,        +1.414213562373e-01,        +3.961235159535e-02,        -4.477935622055e-02,        +6.973582816895e-02,        +2.940352551155e-02,        +2.779655495469e-02,        -5.305541206306e-02,        +1.301843860977e-02,        -7.203487550711e-02,        +1.414213562373e-01,        +1.302282049248e-02,        -7.201823604290e-02,        +2.779655495469e-02,        -5.305541206306e-02,        +6.971490910986e-02,        +2.943781287744e-02,        +3.960407649796e-02,        -4.476271254316e-02,        +1.414213562373e-01,        +2.777483817937e-02,        -5.304565687947e-02,        +1.301843860977e-02,        -7.203487550711e-02,        +3.960407649796e-02,        -4.476271254316e-02,        +6.973333072006e-02,        +2.947482681461e-02
 8.16000000e+01,        +1.414213562373e-01,        +7.030549013833e-02,        +3.057648493512e-02,        +3.899083572208e-02,        -4.507743058904e-02,        +1.108305483632e-02,        -7.268025774362e-02,        +2.652970475253e-02,        -5.335743043743e-02,        +1.414213562373e-01,        +3.899083572208e-02,        -4.507743058904e-02,        +7.032192625816e-02,        +3.053464724295e-02,        +2.655140326589e-02,        -5.336829494858e-02,        +1.107779384026e-02,        -7.269758688067e-02,        +1.414213562373e-01,        +1.108305483632e-02,        -7.268025774362e-02,        +2.655140326589e-02,        -5.336829494858e-02,        +7.030055220493e-02,        +3.057036282280e-02,        +3.898278077969e-02,        -4.505983481692e-02,        +1.414213562373e-01,        +2.652970475253e-02,        -5.335743043743e-02,        +1.107779384026e-02,        -7.269758688067e-02,        +3.898278077969e-02,        -4.505983481692e-02,        +7.032039082325e-02,        +3.060798597018e-02
 8.32000000e+01,        +1.414213562373e-01,        +7.094849036783e-02,        +3.171028533853e-02,        +3.838920889701e-02,        -4.536721802526e-02,        +9.110896419459e-03,        -7.330710477144e-02,        +2.527849917897e-02,        -5.363996745938e-02,        +1.414213562373e-01,        +3.838920889701e-02,        -4.536721802526e-02,        +7.096558430461e-02,        +3.166758179351e-02,        +2.530012380208e-02,        -5.365196681032e-02,        +9.104679658302e-03,        -7.332511472463e-02,        +1.414213562373e-01,        +9.110896419459e-03,        -7.330710477144e-02,        +2.530012380208e-02,        -5.365196681032e-02,        +7.094375452351e-02,        +3.170476343137e-02,        +3.838141950426e-02,        -4.534865059849e-02,        +1.414213562373e-01,        +2.527849917897e-02,        -5.363996745938e-02,        +9.104679658302e-03,        -7.332511472463e-02,        +3.838141950426e-02,        -4.534865059849e-02,        +7.096508364871e-02,        +3.174294699454e-02
 8.48000000e+01,        +1.414213562373e-01,        +7.165059720649e-02,        +3.284335393924e-02,        +3.780804528211e-02,        -4.565047992285e-02,        +7.105424925298e-03,        -7.389763552515e-02,        +2.402119572650e-02,        -5.389287671401e-02,        +1.414213562373e-01,        +3.780804528211e-02,        -4.565047992285e-02,        +7.166840090840e-02,        +3.279978889851e-02,        +2.404268819185e-02,        -5.390603470277e-02,        +7.098171980074e-03,        -7.391631316497e-02,        +1.414213562373e-01,        +7.105424925298e-03,        -7.389763552515e-02,        +2.404268819185e-02,        -5.390603470277e-02,        +7.164611389376e-02,        +3.283847652670e-02,        +3.780056918788e-02,        -4.563092259311e-02,        +1.414213562373e-01,        +2.402119572650e-02,        -5.389287671401e-02,        +7.098171980075e-03,        -7.391631316497e-02,        +3.780056918788e-02,        -4.563092259311e-02,        +7.166900867552e-02,        +3.287716631093e-02
 8.64000000e+01,        +1.414213562373e-01,        +7.241336208503e-02,        +3.397300252246e-02,        +3.724784927416e-02,        -4.592905802163e-02,        +5.065693602157e-03,        -7.445053886364e-02,        +2.275776706474e-02,        -5.411566472204e-02,        +1.414213562373e-01,        +3.724784927416e-02,        -4.592905802163e-02,        +7.243193297683e-02,        +3.392857765579e-02,        +2.277906639928e-02,        -5.413000327765e-02,        +5.057320251594e-03,        -7.446986627339e-02,        +1.414213562373e-01,        +5.065693602157e-03,        -7.445053886365e-02,        +2.277906639928e-02,        -5.413000327765e-02,        +7.240918647066e-02,        +3.396881363357e-02,        +3.724073664610e-02,        -4.590849401006e-02,        +1.414213562373e-01,        +2.275776706474e-02,        -5.411566472204e-02,        +5.057320251594e-03,        -7.446986627339e-02,        +3.724073664610e-02,        -4.590849401006e-02,        +7.243372359550e-02,        +3.400794960356e-02
 8.80000000e+01,        +1.414213562373e-01,        +7.323828673018e-02,        +3.509638338775e-02,        +3.670904867414e-02,        -4.620487864282e-02,        +2.990740723015e-03,        -7.496432233526e-02,        +2.148819472712e-02,        -5.430772911402e-02,        +1.414213562373e-01,        +3.670904867414e-02,        -4.620487864282e-02,        +7.325768791077e-02,        +3.505109701854e-02,        +2.150923718534e-02,        -5.432326812476e-02,        +2.981158940960e-03,        -7.498427625092e-02,        +1.414213562373e-01,        +2.990740723015e-03,        -7.496432233526e-02,        +2.150923718534e-02,        -5.432326812476e-02,        +7.323447895336e-02,        +3.509292649817e-02,        +3.670235216061e-02,        -4.618329281478e-02,        +1.414213562373e-01,        +2.148819472712e-02,        -5.430772911402e-02,        +2.981158940960e-03,        -7.498427625092e-02,        +3.670235216061e-02,        -4.618329281478e-02,        +7.326073649413e-02,        +3.513244230564e-02
 8.96000000e+01,        +1.414213562373e-01,        +7.412681379184e-02,        +3.621047953181e-02,        +3.619198657449e-02,        -4.647995695090e-02,        +8.796025911990e-04,        -7.543730034165e-02,        +2.021248081064e-02,        -5.446835226660e-02,        +1.414213562373e-01,        +3.619198657449e-02,        -4.647995695090e-02,        +7.414711419348e-02,        +3.616432591420e-02,        +2.023319980844e-02,        -5.448510938947e-02,        +8.687205831956e-04,        -7.545785154430e-02,        +1.414213562373e-01,        +8.796025911991e-04,        -7.543730034165e-02,        +2.023319980844e-02,        -5.448510938947e-02,        +7.412343920993e-02,        +3.620779723470e-02,        +3.618576136225e-02,        -4.645733600892e-02,        +1.414213562373e-01,        +2.021248081064e-02,        -5.446835226660e-02,        +8.687205831958e-04,        -7.545785154430e-02,        +3.618576136225e-02,        -4.645733600892e-02,        +7.415149643266e-02,        +3.624761971345e-02
 9.12000000e+01,        +1.414213562373e-01,        +7.508031569605e-02,        +3.731209458404e-02,        +3.569691182594e-02,        -4.675640110402e-02,        -1.268671739872e-03,        -7.586758234058e-02,        +1.893066103534e-02,        -5.459669533538e-02,        +1.414213562373e-01,        +3.569691182594e-02,        -4.675640110402e-02,        +7.510159019677e-02,        +3.726506311350e-02,        +1.895098708628e-02,        -5.461468578516e-02,        -1.280949453285e-03,        -7.588869499970e-02,        +1.414213562373e-01,        -1.268671739872e-03,        -7.586758234058e-02,        +1.895098708628e-02,        -5.461468578516e-02,        +7.507744512474e-02,        +3.731022822188e-02,        +3.569121569157e-02,        -4.673273380050e-02,        +1.414213562373e-01,        +1.893066103534e-02,        -5.459669533538e-02,        -1.280949453285e-03,        -7.588869499970e-02,        +3.569121569157e-02,        -4.673273380050e-02,        +7.510738224639e-02,        +3.735027685039e-02
 9.28000000e+01,        +1.414213562373e-01,        +7.610008153197e-02,        +3.839784265006e-02,        +3.522396794355e-02,        -4.703641612569e-02,        -3.455003854873e-03,        -7.625306122320e-02,        +1.764281928971e-02,        -5.469179283243e-02,        +1.414213562373e-01,        +3.522396794355e-02,        -4.703641612569e-02,        +7.612241101164e-02,        +3.834991700493e-02,        +1.766267994572e-02,        -5.471102914829e-02,        -3.468776299584e-03,        -7.627469218998e-02,        +1.414213562373e-01,        -3.455003854873e-03,        -7.625306122320e-02,        +1.766267994572e-02,        -5.471102914829e-02,        +7.609779147658e-02,        +3.839683190436e-02,        +3.521886129621e-02,        -4.701169349650e-02,        +1.414213562373e-01,        +1.764281928971e-02,        -5.469179283243e-02,        -3.468776299583e-03,        -7.627469218999e-02,        +3.521886129621e-02,        -4.701169349650e-02,        +7.612968936604e-02,        +3.843701823649e-02
 9.44000000e+01,        +1.414213562373e-01,        +7.718730177675e-02,        +3.946413825466e-02,        +3.477318031286e-02,        -4.732230729540e-02,        -5.680267287568e-03,        -7.659140203868e-02,        +1.634910378918e-02,        -5.475254793116e-02,        +1.414213562373e-01,        +3.477318031286e-02,        -4.732230729540e-02,        +7.721077310569e-02,        +3.941529546695e-02,        +1.636842358801e-02,        -5.477303971920e-02,        -5.695636832365e-03,        -7.661350008904e-02,        +1.414213562373e-01,        -5.680267287568e-03,        -7.659140203868e-02,        +1.636842358801e-02,        -5.477303971920e-02,        +7.718567465022e-02,        +3.946402069065e-02,        +3.476872622585e-02,        -4.729652291579e-02,        +1.414213562373e-01,        +1.634910378918e-02,        -5.475254793116e-02,        -5.695636832365e-03,        -7.661350008904e-02,        +3.476872622585e-02,        -4.729652291579e-02,        +7.721961446437e-02,        +3.950424775581e-02
