        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            Re{V[3][1]} (V),            Im{V[3][1]} (V),            Re{V[4][1]} (V),            Im{V[4][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V),            Re{V[3][2]} (V),            Im{V[3][2]} (V),            Re{V[4][2]} (V),            Im{V[4][2]} (V),            V_inc[3][3] (V),            Re{V[1][3]} (V),            Im{V[1][3]} (V),            Re{V[2][3]} (V),            Im{V[2][3]} (V),            Re{V[3][3]} (V),            Im{V[3][3]} (V),            Re{V[4][3]} (V),            Im{V[4][3]} (V),            V_inc[4][4] (V),            Re{V[1][4]} (V),            Im{V[1][4]} (V),            Re{V[2][4]} (V),            Im{V[2][4]} (V),            Re{V[3][4]} (V),            Im{V[3][4]} (V),            Re{V[4][4]} (V),            Im{V[4][4]} (V)
 8.00000000e+01,        +7.071067811865e+00,        +3.486000158287e+00,        +1.472224545242e+00,        +1.980617579767e+00,        -2.238967811028e+00,        +6.511410246240e-01,        -3.600911802145e+00,        +1.388741908968e+00,        -2.652282843974e+00,        +7.071067811865e+00,        +1.980617579767e+00,        -2.238967811028e+00,        +3.486791408448e+00,        +1.470176275578e+00,        +1.389827747735e+00,        -2.652770603153e+00,        +6.509219304884e-01,        -3.601743775355e+00,        +7.071067811865e+00,        +6.511410246240e-01,        -3.600911802145e+00,        +1.389827747735e+00,        -2.652770603153e+00,        +3.485745455493e+00,        +1.471890643872e+00,        +1.980203824898e+00,        -2.238135627158e+00,        +7.071067811865e+00,        +1.388741908968e+00,        -2.652282843974e+00,        +6.509219304884e-01,        -3.601743775356e+00,        +1.980203824898e+00,        -2.238135627158e+00,        +3.486666536003e+00,        +1.473741340731e+00
 8.16000000e+01,        +7.071067811865e+00,        +3.515274506917e+00,        +1.528824246756e+00,        +1.949541786104e+00,        -2.253871529452e+00,        +5.541527418159e-01,        -3.634012887181e+00,        +1.326485237626e+00,        -2.667871521872e+00,        +7.071067811865e+00,        +1.949541786104e+00,        -2.253871529452e+00,        +3.516096312908e+00,        +1.526732362147e+00,        +1.327570163295e+00,        -2.668414747429e+00,        +5.538896920131e-01,        -3.634879344034e+00,        +7.071067811865e+00,        +5.541527418159e-01,        -3.634012887181e+00,        +1.327570163295e+00,        -2.668414747429e+00,        +3.515027610247e+00,        +1.528518141140e+00,        +1.949139038984e+00,        -2.252991740846e+00,        +7.071067811865e+00,        +1.326485237626e+00,        -2.667871521872e+00,        +5.538896920131e-01,        -3.634879344034e+00,        +1.949139038984e+00,        -2.252991740846e+00,        +3.516019541162e+00,        +1.530399298509e+00
 8.32000000e+01,        +7.071067811865e+00,        +3.547424518392e+00,        +1.585514266926e+00,        +1.919460444850e+00,        -2.268360901263e+00,        +4.555448209729e-01,        -3.665355238572e+00,        +1.263924958949e+00,        -2.681998372969e+00,        +7.071067811865e+00,        +1.919460444850e+00,        -2.268360901263e+00,        +3.548279215231e+00,        +1.583379089675e+00,        +1.265006190104e+00,        -2.682598340516e+00,        +4.552339829151e-01,        -3.666255736231e+00,        +7.071067811865e+00,        +4.555448209729e-01,        -3.665355238572e+00,        +1.265006190104e+00,        -2.682598340516e+00,        +3.547187726176e+00,        +1.585238171569e+00,        +1.919070975213e+00,        -2.267432529925e+00,        +7.071067811865e+00,        +1.263924958949e+00,        -2.681998372969e+00,        +4.552339829151e-01,        -3.666255736231e+00,        +1.919070975213e+00,        -2.267432529925e+00,        +3.548254182436e+00,        +1.587147349727e+00
 8.48000000e+01,        +7.071067811865e+00,        +3.582529860325e+00,        +1.642167696962e+00,        +1.890402264105e+00,        -2.282523996143e+00,        +3.552712462649e-01,        -3.694881776257e+00,        +1.201059786325e+00,        -2.694643835700e+00,        +7.071067811865e+00,        +1.890402264105e+00,        -2.282523996143e+00,        +3.583420045420e+00,        +1.639989444925e+00,        +1.202134409592e+00,        -2.695301735138e+00,        +3.549085990037e-01,        -3.695815658249e+00,        +7.071067811865e+00,        +3.552712462649e-01,        -3.694881776257e+00,        +1.202134409592e+00,        -2.695301735138e+00,        +3.582305694688e+00,        +1.641923826335e+00,        +1.890028459394e+00,        -2.281546129656e+00,        +7.071067811865e+00,        +1.201059786325e+00,        -2.694643835700e+00,        +3.549085990037e-01,        -3.695815658249e+00,        +1.890028459394e+00,        -2.281546129655e+00,        +3.583450433776e+00,        +1.643858315547e+00
 8.64000000e+01,        +7.071067811865e+00,        +3.620668104252e+00,        +1.698650126123e+00,        +1.862392463708e+00,        -2.296452901081e+00,        +2.532846801078e-01,        -3.722526943182e+00,        +1.137888353237e+00,        -2.705783236102e+00,        +7.071067811865e+00,        +1.862392463708e+00,        -2.296452901081e+00,        +3.621596648842e+00,        +1.696428882790e+00,        +1.138953319964e+00,        -2.706500163883e+00,        +2.528660125797e-01,        -3.723493313670e+00,        +7.071067811865e+00,        +2.532846801078e-01,        -3.722526943182e+00,        +1.138953319964e+00,        -2.706500163883e+00,        +3.620459323533e+00,        +1.698440681679e+00,        +1.862036832305e+00,        -2.295424700503e+00,        +7.071067811865e+00,        +1.137888353237e+00,        -2.705783236102e+00,        +2.528660125797e-01,        -3.723493313670e+00,        +1.862036832305e+00,        -2.295424700503e+00,        +3.621686179775e+00,        +1.700397480178e+00
 8.80000000e+01,        +7.071067811865e+00,        +3.661914336509e+00,        +1.754819169388e+00,        +1.835452433707e+00,        -2.310243932141e+00,        +1.495370361508e-01,        -3.748216116763e+00,        +1.074409736356e+00,        -2.715386455701e+00,        +7.071067811865e+00,        +1.835452433707e+00,        -2.310243932141e+00,        +3.662884395538e+00,        +1.752554850927e+00,        +1.075461859267e+00,        -2.716163406238e+00,        +1.490579470480e-01,        -3.749213812546e+00,        +7.071067811865e+00,        +1.495370361508e-01,        -3.748216116763e+00,        +1.075461859267e+00,        -2.716163406238e+00,        +3.661723947668e+00,        +1.754646324909e+00,        +1.835117608030e+00,        -2.309164640739e+00,        +7.071067811865e+00,        +1.074409736356e+00,        -2.715386455701e+00,        +1.490579470480e-01,        -3.749213812546e+00,        +1.835117608030e+00,        -2.309164640739e+00,        +3.663036824706e+00,        +1.756622115282e+00
 8.96000000e+01,        +7.071067811865e+00,        +3.706340689592e+00,        +1.810523976591e+00,        +1.809599328724e+00,        -2.323997847545e+00,        +4.398012955995e-02,        -3.771865017083e+00,        +1.010624040532e+00,        -2.723417613330e+00,        +7.071067811865e+00,        +1.809599328724e+00,        -2.323997847545e+00,        +3.707355709674e+00,        +1.808216295710e+00,        +1.011659990422e+00,        -2.724255469474e+00,        +4.343602915978e-02,        -3.772892577215e+00,        +7.071067811865e+00,        +4.398012955995e-02,        -3.771865017083e+00,        +1.011659990422e+00,        -2.724255469474e+00,        +3.706171960496e+00,        +1.810389861735e+00,        +1.809288068113e+00,        -2.322866800446e+00,        +7.071067811865e+00,        +1.010624040532e+00,        -2.723417613330e+00,        +4.343602915979e-02,        -3.772892577215e+00,        +1.809288068113e+00,        -2.322866800446e+00,        +3.707574821633e+00,        +1.812380985672e+00
 9.12000000e+01,        +7.071067811865e+00,        +3.754015784802e+00,        +1.865604729202e+00,        +1.784845591297e+00,        -2.337820055201e+00,        -6.343358699360e-02,        -3.793379117029e+00,        +9.465330517669e-01,        -2.729834766769e+00,        +7.071067811865e+00,        +1.784845591297e+00,        -2.337820055201e+00,        +3.755079509839e+00,        +1.863253155675e+00,        +9.475493543140e-01,        -2.730734289258e+00,        -6.404747266427e-02,        -3.794434749985e+00,        +7.071067811865e+00,        -6.343358699360e-02,        -3.793379117029e+00,        +9.475493543140e-01,        -2.730734289258e+00,        +3.753872256237e+00,        +1.865511411094e+00,        +1.784560784578e+00,        -2.336636690025e+00,        +7.071067811865e+00,        +9.465330517669e-01,        -2.729834766769e+00,        -6.404747266426e-02,        -3.794434749985e+00,        +1.784560784578e+00,        -2.336636690025e+00,        +3.755369112320e+00,        +1.867513842520e+00
 9.28000000e+01,        +7.071067811865e+00,        +3.805004076599e+00,        +1.919892132503e+00,        +1.761198397177e+00,        -2.351820806284e+00,        -1.727501927437e-01,        -3.812653061160e+00,        +8.821409644854e-01,        -2.734589641621e+00,        +7.071067811865e+00,        +1.761198397177e+00,        -2.351820806284e+00,        +3.806120550582e+00,        +1.917495850246e+00,        +8.831339972859e-01,        -2.735551457414e+00,        -1.734388149792e-01,        -3.813734609499e+00,        +7.071067811865e+00,        -1.727501927437e-01,        -3.812653061160e+00,        +8.831339972859e-01,        -2.735551457414e+00,        +3.804889573829e+00,        +1.919841595218e+00,        +1.760943064811e+00,        -2.350584674825e+00,        +7.071067811865e+00,        +8.821409644854e-01,        -2.734589641621e+00,        -1.734388149792e-01,        -3.813734609499e+00,        +1.760943064811e+00,        -2.350584674825e+00,        +3.806484468302e+00,        +1.921850911825e+00
 9.44000000e+01,        +7.071067811865e+00,        +3.859365088837e+00,        +1.973206912733e+00,        +1.738659015643e+00,        -2.366115364770e+00,        -2.840133643784e-01,        -3.829570101934e+00,        +8.174551894591e-01,        -2.737627396558e+00,        +7.071067811865e+00,        +1.738659015643e+00,        -2.366115364770e+00,        +3.860538655285e+00,        +1.970764773348e+00,        +8.184211794004e-01,        -2.738651985960e+00,        -2.847818416182e-01,        -3.830675004452e+00,        +7.071067811865e+00,        -2.840133643784e-01,        -3.829570101934e+00,        +8.184211794004e-01,        -2.738651985960e+00,        +3.859283732511e+00,        +1.973201034532e+00,        +1.738436311293e+00,        -2.364826145789e+00,        +7.071067811865e+00,        +8.174551894591e-01,        -2.737627396558e+00,        -2.847818416182e-01,        -3.830675004452e+00,        +1.738436311293e+00,        -2.364826145789e+00,        +3.860980723219e+00,        +1.975212387790e+00
