        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 8.00000000e+01,        +2.280191301851e-12,        +6.084170216241e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.279958569923e-12,        +6.094495532236e-13,        +0.000000000000e+00,        +0.000000000000e+00
 8.16000000e+01,        +2.232682907316e-12,        +6.248309613570e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.232439373099e-12,        +6.259041788238e-13,        +0.000000000000e+00,        +0.000000000000e+00
 8.32000000e+01,        +2.186908021041e-12,        +6.415173920864e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.186659042464e-12,        +6.426334368964e-13,        +0.000000000000e+00,        +0.000000000000e+00
 8.48000000e+01,        +2.142863597474e-12,        +6.585109897450e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.142614376385e-12,        +6.596721440886e-13,        +0.000000000000e+00,        +0.000000000000e+00
 8.64000000e+01,        +2.100547935445e-12,        +6.758495000881e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.100303547553e-12,        +6.770582061467e-13,        +0.000000000000e+00,        +0.000000000000e+00
 8.80000000e+01,        +2.059961242384e-12,        +6.935740616854e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.059726668749e-12,        +6.948329423366e-13,        +0.000000000000e+00,        +0.000000000000e+00
 8.96000000e+01,        +2.021106223433e-12,        +7.117295874913e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.020886383629e-12,        +7.130414687736e-13,        +0.000000000000e+00,        +0.000000000000e+00
 9.12000000e+01,        +1.983988707385e-12,        +7.303652150944e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.983788494553e-12,        +7.317331507998e-13,        +0.000000000000e+00,        +0.000000000000e+00
 9.28000000e+01,        +1.948618323608e-12,        +7.495348381113e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.948442641622e-12,        +7.509621369053e-13,        +0.000000000000e+00,        +0.000000000000e+00
 9.44000000e+01,        +1.915009246926e-12,        +7.692977341918e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.914863050092e-12,        +7.707879897320e-13,        +0.000000000000e+00,        +0.000000000000e+00
 9.60000000e+01,        +1.883181031039e-12,        +7.897193089251e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.883069366710e-12,        +7.912764334935e-13,        +0.000000000000e+00,        +0.000000000000e+00
 9.76000000e+01,        +1.853159555748e-12,        +8.108719798480e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.853087610445e-12,        +8.125002420941e-13,        +0.000000000000e+00,        +0.000000000000e+00
 9.92000000e+01,        +1.824978119404e-12,        +8.328362311143e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.824951269104e-12,        +8.345402986190e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.00800000e+02,        +1.798678716004e-12,        +8.557018776824e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.798702581400e-12,        +8.574868651465e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.02400000e+02,        +1.774313547094e-12,        +8.795695888094e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.774394054792e-12,        +8.814411128309e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.04000000e+02,        +1.751946832880e-12,        +9.045527351699e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.752090283763e-12,        +9.065169767466e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.05600000e+02,        +1.731657006275e-12,        +9.307796434233e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.731870152380e-12,        +9.328434195213e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.07200000e+02,        +1.713539399885e-12,        +9.583963685329e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.713829531600e-12,        +9.605672143387e-13,        +0.000000000000e+00,        +0.000000000000e+00
