        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 8.00000000e+01,        +1.414213562373e-01,        +6.701960851787e-02,        -1.167155835538e-01,        +2.353703794810e-04,        -1.653375237291e-04,        +1.414213562373e-01,        +2.353703794812e-04,        -1.653375237290e-04,        +6.688083284767e-02,        -1.166256369782e-01
 8.16000000e+01,        +1.414213562373e-01,        +6.364817793586e-02,        -1.143725318530e-01,        +2.296397365765e-04,        -1.723297652355e-04,        +1.414213562373e-01,        +2.296397365754e-04,        -1.723297652350e-04,        +6.351127521126e-02,        -1.142778536044e-01
 8.32000000e+01,        +1.414213562373e-01,        +6.038350761326e-02,        -1.119534761521e-01,        +2.238061396675e-04,        -1.791543284964e-04,        +1.414213562373e-01,        +2.238061396668e-04,        -1.791543284970e-04,        +6.024858105667e-02,        -1.118541121158e-01
 8.48000000e+01,        +1.414213562373e-01,        +5.722425276663e-02,        -1.094616556030e-01,        +2.178919658022e-04,        -1.858458034838e-04,        +1.414213562373e-01,        +2.178919658030e-04,        -1.858458034840e-04,        +5.709139804084e-02,        -1.093576416211e-01
 8.64000000e+01,        +1.414213562373e-01,        +5.416905133991e-02,        -1.068999455074e-01,        +2.119174363177e-04,        -1.924439874510e-04,        +1.414213562373e-01,        +2.119174363157e-04,        -1.924439874498e-04,        +5.403835805692e-02,        -1.067913065476e-01
 8.80000000e+01,        +1.414213562373e-01,        +5.121654737497e-02,        -1.042708621929e-01,        +2.059004341688e-04,        -1.989945049099e-04,        +1.414213562373e-01,        +2.059004341687e-04,        -1.989945049103e-04,        +5.108810060124e-02,        -1.041576115834e-01
 8.96000000e+01,        +1.414213562373e-01,        +4.836541355418e-02,        -1.015765669765e-01,        +1.998562575787e-04,        -2.055495915702e-04,        +1.414213562373e-01,        +1.998562575766e-04,        -2.055495915729e-04,        +4.823929532043e-02,        -1.014587056918e-01
 9.12000000e+01,        +1.414213562373e-01,        +4.561437322735e-02,        -9.881886897916e-02,        +1.937972880255e-04,        -2.121690745104e-04,        +1.414213562373e-01,        +1.937972880252e-04,        -2.121690745124e-04,        +4.549066405398e-02,        -9.869638495932e-02
 9.28000000e+01,        +1.414213562373e-01,        +4.296222226498e-02,        -9.599922654684e-02,        +1.877325446310e-04,        -2.189215891478e-04,        +1.414213562373e-01,        +1.877325446341e-04,        -2.189215891489e-04,        +4.284100271376e-02,        -9.587209403650e-02
 9.44000000e+01,        +1.414213562373e-01,        +4.040785111698e-02,        -9.311874702649e-02,        +1.816670881403e-04,        -2.258860842275e-04,        +1.414213562373e-01,        +1.816670881366e-04,        -2.258860842281e-04,        +4.028920338657e-02,        -9.298692591984e-02
 9.60000000e+01,        +1.414213562373e-01,        +3.795026750380e-02,        -9.017818462176e-02,        +1.756012262497e-04,        -2.331536797162e-04,        +1.414213562373e-01,        +1.756012262499e-04,        -2.331536797157e-04,        +3.783427708592e-02,        -9.004161980011e-02
 9.76000000e+01,        +1.414213562373e-01,        +3.558862022909e-02,        -8.717793602720e-02,        +1.695294560069e-04,        -2.408299600016e-04,        +1.414213562373e-01,        +1.695294560081e-04,        -2.408299600007e-04,        +3.547537764901e-02,        -8.703655667761e-02
 9.92000000e+01,        +1.414213562373e-01,        +3.332222468395e-02,        -8.411803349776e-02,        +1.634390569169e-04,        -2.490378078459e-04,        +1.414213562373e-01,        +1.634390569225e-04,        -2.490378078425e-04,        +3.321182735071e-02,        -8.397175240238e-02
 1.00800000e+02,        +1.414213562373e-01,        +3.115059071855e-02,        -8.099813495709e-02,        +1.573082179640e-04,        -2.579209140870e-04,        +1.414213562373e-01,        +1.573082179676e-04,        -2.579209140844e-04,        +3.104314491675e-02,        -8.084684774250e-02
 1.02400000e+02,        +1.414213562373e-01,        +2.907345369642e-02,        -7.781751067742e-02,        +1.511035391432e-04,        -2.676481372509e-04,        +1.414213562373e-01,        +1.511035391491e-04,        -2.676481372527e-04,        +2.896907675560e-02,        -7.766109501582e-02
 1.04000000e+02,        +1.414213562373e-01,        +2.709080973098e-02,        -7.457502597261e-02,        +1.447766881893e-04,        -2.784189382988e-04,        +1.414213562373e-01,        +1.447766881916e-04,        -2.784189383008e-04,        +2.698963241805e-02,        -7.441334072920e-02
 1.05600000e+02,        +1.414213562373e-01,        +2.520295634935e-02,        -7.126911922887e-02,        +1.382599082401e-04,        -2.904701836705e-04,        +1.414213562373e-01,        +1.382599082356e-04,        -2.904701836768e-04,        +2.510512553573e-02,        -7.110200354850e-02
 1.07200000e+02,        +1.414213562373e-01,        +2.341054015774e-02,        -6.789777444771e-02,        +1.314599507471e-04,        -3.040846995900e-04,        +1.414213562373e-01,        +1.314599507435e-04,        -3.040846995845e-04,        +2.331622182528e-02,        -6.772504678214e-02
 1.08800000e+02,        +1.414213562373e-01,        +2.171461352888e-02,        -6.445848728424e-02,        +1.242498320543e-04,        -3.196020807950e-04,        +1.414213562373e-01,        +1.242498320559e-04,        -3.196020807954e-04,        +2.162399619182e-02,        -6.427994436048e-02
 1.10400000e+02,        +1.414213562373e-01,        +2.011670294168e-02,        -6.094822331875e-02,        +1.164575558019e-04,        -3.374324171693e-04,        +1.414213562373e-01,        +1.164575558099e-04,        -3.374324171627e-04,        +2.003000157885e-02,        -6.076363905897e-02
 1.12000000e+02,        +1.414213562373e-01,        +1.861889244696e-02,        -5.736336698667e-02,        +1.078505645086e-04,        -3.580738171288e-04,        +1.414213562373e-01,        +1.078505645271e-04,        -3.580738171286e-04,        +1.853635305993e-02,        -5.717249139766e-02
 1.13600000e+02,        +1.414213562373e-01,        +1.722392691531e-02,        -5.369965919297e-02,        +9.811411786941e-05,        -3.821348957382e-04,        +1.414213562373e-01,        +9.811411786854e-05,        -3.821348957535e-04,        +1.714583185534e-02,        -5.350221725570e-02
 1.15200000e+02,        +1.414213562373e-01,        +1.593534140185e-02,        -4.995212113019e-02,        +8.682093861835e-05,        -4.103637819056e-04,        +1.414213562373e-01,        +8.682093862089e-05,        -4.103637819141e-04,        +1.586201564456e-02,        -4.974781174137e-02
 1.16800000e+02,        +1.414213562373e-01,        +1.475762538399e-02,        -4.611496118293e-02,        +7.338815321910e-05,        -4.436857135200e-04,        +1.414213562373e-01,        +7.338815320771e-05,        -4.436857135164e-04,        +1.468944397660e-02,        -4.590345622779e-02
 1.18400000e+02,        +1.414213562373e-01,        +1.369643417835e-02,        -4.218146101893e-02,        +5.701550804712e-05,        -4.832519632048e-04,        +1.414213562373e-01,        +5.701550804700e-05,        -4.832519631978e-04,        +1.363383114165e-02,        -4.196240469884e-02
 1.20000000e+02,        +1.414213562373e-01,        +1.275886514113e-02,        -3.814383604384e-02,        +3.659560638813e-05,        -5.305036937330e-04,        +1.414213562373e-01,        +3.659560638660e-05,        -5.305036937236e-04,        +1.270234418871e-02,        -3.791684464823e-02
 1.21600000e+02,        +1.414213562373e-01,        +1.195382431829e-02,        -3.399306440303e-02,        +1.058170580940e-05,        -5.872553682073e-04,        +1.414213562373e-01,        +1.058170582072e-05,        -5.872553682032e-04,        +1.190397185516e-02,        -3.375772681555e-02
 1.23200000e+02,        +1.414213562373e-01,        +1.129252173544e-02,        -2.971867788021e-02,        -2.320990812484e-05,        -6.558034072524e-04,        +1.414213562373e-01,        -2.320990811856e-05,        -6.558034072511e-04,        +1.125002273217e-02,        -2.947455726787e-02
 1.24800000e+02,        +1.414213562373e-01,        +1.078915341047e-02,        -2.530850798173e-02,        -6.790018753749e-05,        -7.390664646077e-04,        +1.414213562373e-01,        -6.790018754342e-05,        -7.390664646050e-04,        +1.075481092326e-02,        -2.505514536380e-02
 1.26400000e+02,        +1.414213562373e-01,        +1.046186052449e-02,        -2.074838273942e-02,        -1.280116868286e-04,        -8.407627909894e-04,        +1.414213562373e-01,        -1.280116868412e-04,        -8.407627909864e-04,        +1.043661985562e-02,        -2.048530353423e-02
 1.28000000e+02,        +1.414213562373e-01,        +1.033411012387e-02,        -1.602177802921e-02,        -2.102006718643e-04,        -9.656245663803e-04,        +1.414213562373e-01,        -2.102006718726e-04,        -9.656245663889e-04,        +1.031908889185e-02,        -1.574850333829e-02
 1.29600000e+02,        +1.414213562373e-01,        +1.043673396074e-02,        -1.110945052558e-02,        -3.244356154505e-04,        -1.119630887214e-03,        +1.414213562373e-01,        -3.244356154422e-04,        -1.119630887217e-03,        +1.043325966247e-02,        -1.082551602479e-02
 1.31200000e+02,        +1.414213562373e-01,        +1.081102375869e-02,        -5.989140088653e-03,        -4.859368012806e-04,        -1.310190071632e-03,        +1.414213562373e-01,        -4.859368012764e-04,        -1.310190071629e-03,        +1.082068066277e-02,        -5.694127315011e-03
 1.32800000e+02,        +1.414213562373e-01,        +1.151357077763e-02,        -6.355838332693e-04,        -7.184428733451e-04,        -1.546065558266e-03,        +1.414213562373e-01,        -7.184428733357e-04,        -1.546065558246e-03,        +1.153825791210e-02,        -3.291720484642e-04
