        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 8.00000000e+01,        +7.071067811865e+00,        +3.350980425893e+00,        -5.835779177688e+00,        +1.176851897405e-02,        -8.266876186457e-03,        +7.071067811865e+00,        +1.176851897406e-02,        -8.266876186450e-03,        +3.344041642384e+00,        -5.831281848910e+00
 8.16000000e+01,        +7.071067811865e+00,        +3.182408896793e+00,        -5.718626592650e+00,        +1.148198682882e-02,        -8.616488261773e-03,        +7.071067811865e+00,        +1.148198682877e-02,        -8.616488261750e-03,        +3.175563760563e+00,        -5.713892680218e+00
 8.32000000e+01,        +7.071067811865e+00,        +3.019175380663e+00,        -5.597673807607e+00,        +1.119030698338e-02,        -8.957716424820e-03,        +7.071067811865e+00,        +1.119030698334e-02,        -8.957716424850e-03,        +3.012429052833e+00,        -5.592705605792e+00
 8.48000000e+01,        +7.071067811865e+00,        +2.861212638332e+00,        -5.473082780149e+00,        +1.089459829011e-02,        -9.292290174191e-03,        +7.071067811865e+00,        +1.089459829015e-02,        -9.292290174198e-03,        +2.854569902042e+00,        -5.467882081057e+00
 8.64000000e+01,        +7.071067811865e+00,        +2.708452566995e+00,        -5.344997275370e+00,        +1.059587181588e-02,        -9.622199372550e-03,        +7.071067811865e+00,        +1.059587181578e-02,        -9.622199372490e-03,        +2.701917902846e+00,        -5.339565327378e+00
 8.80000000e+01,        +7.071067811865e+00,        +2.560827368749e+00,        -5.213543109644e+00,        +1.029502170844e-02,        -9.949725245497e-03,        +7.071067811865e+00,        +1.029502170843e-02,        -9.949725245517e-03,        +2.554405030062e+00,        -5.207880579171e+00
 8.96000000e+01,        +7.071067811865e+00,        +2.418270677709e+00,        -5.078828348827e+00,        +9.992812878936e-03,        -1.027747957851e-02,        +7.071067811865e+00,        +9.992812878828e-03,        -1.027747957864e-02,        +2.411964766022e+00,        -5.072935284590e+00
 9.12000000e+01,        +7.071067811865e+00,        +2.280718661367e+00,        -4.940943448958e+00,        +9.689864401277e-03,        -1.060845372552e-02,        +7.071067811865e+00,        +9.689864401261e-03,        -1.060845372562e-02,        +2.274533202699e+00,        -4.934819247966e+00
 9.28000000e+01,        +7.071067811865e+00,        +2.148111113249e+00,        -4.799961327342e+00,        +9.386627231548e-03,        -1.094607945739e-02,        +7.071067811865e+00,        +9.386627231705e-03,        -1.094607945745e-02,        +2.142050135688e+00,        -4.793604701825e+00
 9.44000000e+01,        +7.071067811865e+00,        +2.020392555849e+00,        -4.655937351324e+00,        +9.083354407014e-03,        -1.129430421138e-02,        +7.071067811865e+00,        +9.083354406832e-03,        -1.129430421140e-02,        +2.014460169328e+00,        -4.649346295992e+00
 9.60000000e+01,        +7.071067811865e+00,        +1.897513375190e+00,        -4.508909231088e+00,        +8.780061312485e-03,        -1.165768398581e-02,        +7.071067811865e+00,        +8.780061312497e-03,        -1.165768398579e-02,        +1.891713854296e+00,        -4.502080990006e+00
 9.76000000e+01,        +7.071067811865e+00,        +1.779431011455e+00,        -4.358896801360e+00,        +8.476472800346e-03,        -1.204149800008e-02,        +7.071067811865e+00,        +8.476472800406e-03,        -1.204149800003e-02,        +1.773768882450e+00,        -4.351827833881e+00
 9.92000000e+01,        +7.071067811865e+00,        +1.666111234198e+00,        -4.205901674888e+00,        +8.171952845844e-03,        -1.245189039230e-02,        +7.071067811865e+00,        +8.171952846126e-03,        -1.245189039213e-02,        +1.660591367536e+00,        -4.198587620119e+00
