        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J),              E_elec[4] (J),               E_mag[4] (J),               E_cap[4] (J),               E_ind[4] (J),              E_elec[5] (J),               E_mag[5] (J),               E_cap[5] (J),               E_ind[5] (J),              E_elec[6] (J),               E_mag[6] (J),               E_cap[6] (J),               E_ind[6] (J),              E_elec[7] (J),               E_mag[7] (J),               E_cap[7] (J),               E_ind[7] (J)
 8.00000000e+01,        +2.295149041901e-12,        +6.807801350148e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.522924481038e-12,        +2.156965914452e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.337104833579e-12,        +2.335581763676e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.781299723537e-12,        +1.923970361334e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.347743426602e-12,        +2.361084619622e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.813830481679e-12,        +1.947970336105e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.530214155621e-12,        +2.159313579818e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.16000000e+01,        +2.246443266185e-12,        +6.982685088850e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.539819790633e-12,        +2.162685736721e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.330129426529e-12,        +2.305663863263e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.755429161464e-12,        +1.901553139748e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.340700809734e-12,        +2.329805170413e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.786365034645e-12,        +1.922791149008e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.546394084533e-12,        +2.164190185610e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.32000000e+01,        +2.199527139952e-12,        +7.159916138846e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.560748089072e-12,        +2.169630588595e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.322461654326e-12,        +2.278620519032e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.730791450953e-12,        +1.883538707691e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.333067180269e-12,        +2.301575755512e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.760133672811e-12,        +1.902195160153e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.566565846736e-12,        +2.170326636488e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.48000000e+01,        +2.154396036102e-12,        +7.339837399182e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.585028745516e-12,        +2.177271288676e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.314435378877e-12,        +2.254414505698e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.707563300576e-12,        +1.869834755840e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.325171687924e-12,        +2.276339162562e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.735320302245e-12,        +1.886075298385e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.590058619945e-12,        +2.177195915140e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.64000000e+01,        +2.111046542253e-12,        +7.522820900018e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.612054704508e-12,        +2.185175633001e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.306372258773e-12,        +2.233001554826e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.685975739009e-12,        +1.860400847605e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.317330444172e-12,        +2.254033274882e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.712161068693e-12,        +1.874378731374e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.616273812342e-12,        +2.184367846743e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.80000000e+01,        +2.069477009998e-12,        +7.709270837063e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.641271467418e-12,        +2.192989837987e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.298565175327e-12,        +2.214327449231e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.666294364867e-12,        +1.855236795476e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.309829784422e-12,        +2.234587899769e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.690925277734e-12,        +1.867095455976e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.644664509301e-12,        +2.191490823251e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.96000000e+01,        +2.029688132337e-12,        +7.899627263829e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.672163677919e-12,        +2.200426937171e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.291268855654e-12,        +2.198329617757e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.648807182544e-12,        +1.854376777835e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.302916775007e-12,        +2.217926167868e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.671903894308e-12,        +1.864252661153e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.674722454733e-12,        +2.198280410604e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.12000000e+01,        +1.991683563604e-12,        +8.094370557631e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.704247613560e-12,        +2.207260022578e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.284696327316e-12,        +2.184941609711e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.633818318137e-12,        +1.857887252423e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.296795607725e-12,        +2.203968887520e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.655403932225e-12,        +1.865912906623e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.705970879085e-12,        +2.204512730078e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.28000000e+01,        +1.955470598529e-12,        +8.294026796493e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.737068313078e-12,        +2.213318781906e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.279019972345e-12,        +2.174099248094e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.621646259128e-12,        +1.865867330880e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.291628670507e-12,        +2.192640655061e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.641747381353e-12,        +1.872174759122e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.737961901814e-12,        +2.210021058733e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.44000000e+01,        +1.921060929500e-12,        +8.499174207425e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.770200318067e-12,        +2.218488149408e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.274376079126e-12,        +2.165747585278e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.612625553148e-12,        +1.878450720708e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.287541219053e-12,        +2.183876844181e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.631273601139e-12,        +1.883174967169e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.770277477207e-12,        +2.214694459502e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.60000000e+01,        +1.888471504006e-12,        +8.710450873734e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.803251139647e-12,        +2.222708139218e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.270871913734e-12,        +2.159848032027e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.607111147537e-12,        +1.895808660296e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.284628698397e-12,        +2.177630840258e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.624344350067e-12,        +1.899091574731e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.802532981576e-12,        +2.218477504845e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.76000000e+01,        +1.857725507561e-12,        +8.928563923172e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.835866621803e-12,        +2.225974114911e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.268594453317e-12,        +2.156385224067e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.605484762773e-12,        +1.918153496611e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.282965875567e-12,        +2.173881071927e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.621350827761e-12,        +1.920147603325e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.834382602003e-12,        +2.221370348828e-12,        +0.000000000000e+00,        +0.000000000000e+00
