        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J)
 8.00000000e+01,        +7.072143653839e-13,        +7.838329993577e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.119240802022e-13,        +1.111498200104e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.109989120321e-13,        +1.111460999687e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.16000000e+01,        +7.087343765517e-13,        +7.828532319740e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.175552087236e-13,        +1.102200857521e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.166191227196e-13,        +1.102166983056e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.32000000e+01,        +7.102608322050e-13,        +7.818725030043e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.231836507013e-13,        +1.092970545020e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.222369219530e-13,        +1.092939937078e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.48000000e+01,        +7.117928473817e-13,        +7.808907333177e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.288067303574e-13,        +1.083811184957e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.278496437736e-13,        +1.083783778021e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.64000000e+01,        +7.133295331308e-13,        +7.799078633636e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.344218953844e-13,        +1.074726543443e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.334547452233e-13,        +1.074702266189e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.80000000e+01,        +7.148699969216e-13,        +7.789238517267e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.400267158033e-13,        +1.065720231428e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.390498052081e-13,        +1.065699007035e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.96000000e+01,        +7.164133430748e-13,        +7.779386738502e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.456188826910e-13,        +1.056795706372e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.446325232318e-13,        +1.056777452838e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.12000000e+01,        +7.179586732143e-13,        +7.769523209030e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.511962067922e-13,        +1.047956274417e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.502007180156e-13,        +1.047940904896e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.28000000e+01,        +7.195050867395e-13,        +7.759647987705e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.567566170308e-13,        +1.039205093022e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.557523260174e-13,        +1.039192516168e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.44000000e+01,        +7.210516813192e-13,        +7.749761271517e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.622981589348e-13,        +1.030545173990e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.612853998661e-13,        +1.030535294317e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.60000000e+01,        +7.225975534044e-13,        +7.739863387484e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.678189929910e-13,        +1.021979386865e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.667981067269e-13,        +1.021972105116e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.76000000e+01,        +7.241417987608e-13,        +7.729954785324e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.733173929432e-13,        +1.013510462654e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.722887266105e-13,        +1.013505676175e-12,        +0.000000000000e+00,        +0.000000000000e+00
