        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            Re{I[3][1]} (A),            Im{I[3][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A),            Re{I[3][2]} (A),            Im{I[3][2]} (A),            I_inc[3][3] (A),            Re{I[1][3]} (A),            Im{I[1][3]} (A),            Re{I[2][3]} (A),            Im{I[2][3]} (A),            Re{I[3][3]} (A),            Im{I[3][3]} (A)
 8.00000000e+01,        +1.414213562373e-01,        +1.223795383609e-01,        +8.462576819382e-03,        +5.951365159754e-02,        -6.087069669032e-02,        +5.952033822036e-02,        -6.083458752340e-02,        +1.414213562373e-01,        +5.951365159754e-02,        -6.087069669032e-02,        +1.863273299265e-01,        +3.980626491011e-02,        -4.448457604788e-03,        -5.900894420764e-02,        +1.414213562373e-01,        +5.952033822036e-02,        -6.083458752340e-02,        -4.448457604789e-03,        -5.900894420764e-02,        +1.863039948673e-01,        +3.986961169844e-02
 8.16000000e+01,        +1.414213562373e-01,        +1.226416614906e-01,        +8.425522615319e-03,        +5.854036086134e-02,        -6.181830678387e-02,        +5.854802660413e-02,        -6.178122957303e-02,        +1.414213562373e-01,        +5.854036086134e-02,        -6.181830678387e-02,        +1.876251361332e-01,        +3.945303583941e-02,        -6.276394153605e-03,        -5.872745134112e-02,        +1.414213562373e-01,        +5.854802660413e-02,        -6.178122957303e-02,        -6.276394153606e-03,        -5.872745134112e-02,        +1.876020089745e-01,        +3.951871882935e-02
 8.32000000e+01,        +1.414213562373e-01,        +1.229023426442e-01,        +8.380468028217e-03,        +5.755156182387e-02,        -6.275084142660e-02,        +5.756025371900e-02,        -6.271281290805e-02,        +1.414213562373e-01,        +5.755156182387e-02,        -6.275084142660e-02,        +1.889063554644e-01,        +3.906148355051e-02,        -8.088802462666e-03,        -5.839119643726e-02,        +1.414213562373e-01,        +5.756025371900e-02,        -6.271281290805e-02,        -8.088802462665e-03,        -5.839119643726e-02,        +1.888835002999e-01,        +3.912951709513e-02
 8.48000000e+01,        +1.414213562373e-01,        +1.231613573173e-01,        +8.327449523545e-03,        +5.654746024637e-02,        -6.366802365774e-02,        +5.655722512438e-02,        -6.362906258156e-02,        +1.414213562373e-01,        +5.654746024637e-02,        -6.366802365774e-02,        +1.901700034410e-01,        +3.863244632405e-02,        -9.884182343303e-03,        -5.800097898903e-02,        +1.414213562373e-01,        +5.655722512438e-02,        -6.362906258156e-02,        -9.884182343304e-03,        -5.800097898903e-02,        +1.901474852262e-01,        +3.870284219920e-02
 8.64000000e+01,        +1.414213562373e-01,        +1.234184812285e-01,        +8.266509668103e-03,        +5.552826805344e-02,        -6.456957812310e-02,        +5.553915245557e-02,        -6.452970523982e-02,        +1.414213562373e-01,        +5.552826805344e-02,        -6.456957812310e-02,        +1.914151360708e-01,        +3.816677767343e-02,        -1.166107239341e-02,        -5.755762979611e-02,        +1.414213562373e-01,        +5.553915245557e-02,        -6.452970523982e-02,        -1.166107239340e-02,        -5.755762979611e-02,        +1.913930205117e-01,        +3.823954504754e-02
 8.80000000e+01,        +1.414213562373e-01,        +1.236734905001e-01,        +8.197697164465e-03,        +5.449420337257e-02,        -6.545523124942e-02,        +5.450625346509e-02,        -6.541446929375e-02,        +1.414213562373e-01,        +5.449420337257e-02,        -6.545523124942e-02,        +1.926408493067e-01,        +3.766534451378e-02,        -1.341804994409e-02,        -5.706200923817e-02,        +1.414213562373e-01,        +5.450625346509e-02,        -6.541446929375e-02,        -1.341804994409e-02,        -5.706200923817e-02,        +1.926192027469e-01,        +3.774048992352e-02
 8.96000000e+01,        +1.414213562373e-01,        +1.239261618412e-01,        +8.121066881810e-03,        +5.344549056850e-02,        -6.632471142338e-02,        +5.345875205901e-02,        -6.628308509515e-02,        +1.414213562373e-01,        +5.344549056850e-02,        -6.632471142338e-02,        +1.938462784372e-01,        +3.712902541114e-02,        -1.515373094787e-02,        -5.651500561214e-02,        +1.414213562373e-01,        +5.345875205901e-02,        -6.628308509516e-02,        -1.515373094787e-02,        -5.651500561214e-02,        +1.938251677451e-01,        +3.720655274273e-02
 9.12000000e+01,        +1.414213562373e-01,        +1.241762727334e-01,        +8.036679882520e-03,        +5.238236027215e-02,        -6.717774917496e-02,        +5.239687832761e-02,        -6.713528511749e-02,        +1.414213562373e-01,        +5.238236027215e-02,        -6.717774917496e-02,        +1.950305974167e-01,        +3.655870891150e-02,        -1.686676981282e-02,        -5.591753353304e-02,        +1.414213562373e-01,        +5.239687832761e-02,        -6.713528511749e-02,        -1.686676981282e-02,        -5.591753353304e-02,        +1.950100898736e-01,        +3.663861938765e-02
 9.28000000e+01,        +1.414213562373e-01,        +1.244236016194e-01,        +7.944603443979e-03,        +5.130504940353e-02,        -6.801407736475e-02,        +5.132086857011e-02,        -6.797080414054e-02,        +1.414213562373e-01,        +5.130504940353e-02,        -6.801407736475e-02,        +1.961930181408e-01,        +3.595529194924e-02,        -1.855585918726e-02,        -5.527053239757e-02,        +1.414213562373e-01,        +5.132086857011e-02,        -6.797080414054e-02,        -1.855585918726e-02,        -5.527053239757e-02,        +1.961731813280e-01,        +3.603758412164e-02
 9.44000000e+01,        +1.414213562373e-01,        +1.246679280937e-01,        +7.844911075038e-03,        +5.021380118847e-02,        -6.883343137486e-02,        +5.023096531313e-02,        -6.878937943895e-02,        +1.414213562373e-01,        +5.021380118847e-02,        -6.883343137486e-02,        +1.973327896692e-01,        +3.531967833511e-02,        -2.021972969898e-02,        -5.457496491037e-02,        +1.414213562373e-01,        +5.023096531313e-02,        -6.878937943895e-02,        -2.021972969898e-02,        -5.457496491037e-02,        +1.973136913575e-01,        +3.540434808228e-02
 9.60000000e+01,        +1.414213562373e-01,        +1.249090330963e-01,        +7.737682526694e-03,        +4.910886516879e-02,        -6.963554930312e-02,        +4.912741732248e-02,        -6.959075097387e-02,        +1.414213562373e-01,        +4.910886516879e-02,        -6.963554930312e-02,        +1.984491974037e-01,        +3.465277732291e-02,        -2.185714965311e-02,        -5.383181567169e-02,        +1.414213562373e-01,        +4.912741732248e-02,        -6.959075097387e-02,        -2.185714965311e-02,        -5.383181567169e-02,        +1.984309054431e-01,        +3.473981785321e-02
 9.76000000e+01,        +1.414213562373e-01,        +1.251466991082e-01,        +7.623003796569e-03,        +4.799049720555e-02,        -7.042017216006e-02,        +4.801047960823e-02,        -7.037466158772e-02,        +1.414213562373e-01,        +4.799049720555e-02,        -7.042017216006e-02,        +1.995415622232e-01,        +3.395550225456e-02,        -2.346692469226e-02,        -5.304208982618e-02,        +1.414213562373e-01,        +4.801047960823e-02,        -7.037466158772e-02,        -2.346692469226e-02,        -5.304208982618e-02,        +1.995241444347e-01,        +3.404490411421e-02
 9.92000000e+01,        +1.414213562373e-01,        +1.253807103494e-01,        +7.500967126821e-03,        +4.685895947540e-02,        -7.118704406854e-02,        +4.688041342259e-02,        -7.114085720143e-02,        +1.414213562373e-01,        +4.685895947540e-02,        -7.118704406854e-02,        +2.006092395819e-01,        +3.322876928316e-02,        -2.504789742243e-02,        -5.220681177183e-02,        +1.414213562373e-01,        +4.688041342259e-02,        -7.114085720143e-02,        -2.504789742243e-02,        -5.220681177183e-02,        +2.005927636503e-01,        +3.332052036910e-02
 1.00800000e+02,        +1.414213562373e-01,        +1.256108529789e-01,        +7.371670995180e-03,        +4.571452045953e-02,        -7.193591246546e-02,        +4.573748625060e-02,        -7.188908701391e-02,        +1.414213562373e-01,        +4.571452045953e-02,        -7.193591246546e-02,        +2.016516185729e-01,        +3.247349617324e-02,        -2.659894700817e-02,        -5.132702392830e-02,        +1.414213562373e-01,        +4.573748625060e-02,        -7.188908701391e-02,        -2.659894700817e-02,        -5.132702392830e-02,        +2.016361519425e-01,        +3.256758175049e-02
 1.02400000e+02,        +1.414213562373e-01,        +1.258369152954e-01,        +7.235220098831e-03,        +4.455745492530e-02,        -7.266652830533e-02,        +4.458197179337e-02,        -7.261910370343e-02,        +1.414213562373e-01,        +4.455745492530e-02,        -7.266652830533e-02,        +2.026681209624e-01,        +3.169060117736e-02,        -2.811898874002e-02,        -5.040378556334e-02,        +1.414213562373e-01,        +4.458197179337e-02,        -7.261910370343e-02,        -2.811898874002e-02,        -5.040378556334e-02,        +2.026537307344e-01,        +3.178700390076e-02
 1.04000000e+02,        +1.414213562373e-01,        +1.260586879406e-01,        +7.091725330922e-03,        +4.338804390023e-02,        -7.337864626533e-02,        +4.341414994375e-02,        -7.333066363045e-02,        +1.414213562373e-01,        +4.338804390023e-02,        -7.337864626533e-02,        +2.036582001977e-01,        +3.088100198893e-02,        -2.960697357722e-02,        -4.943817167705e-02,        +1.414213562373e-01,        +4.341414994375e-02,        -7.333066363045e-02,        -2.960697357722e-02,        -4.943817167705e-02,        +2.036449530301e-01,        +3.097970192892e-02
 1.05600000e+02,        +1.414213562373e-01,        +1.262759641023e-01,        +6.941303749497e-03,        +4.220657463826e-02,        -7.407202495145e-02,        +4.223430675429e-02,        -7.402352704165e-02,        +1.414213562373e-01,        +4.220657463826e-02,        -7.407202495145e-02,        +2.046213403918e-01,        +3.004561476944e-02,        -3.106188766833e-02,        -4.843127194202e-02,        +1.414213562373e-01,        +4.223430675429e-02,        -7.402352704166e-02,        -3.106188766833e-02,        -4.843127194202e-02,        +2.046093024021e-01,        +3.014658944163e-02
 1.07200000e+02,        +1.414213562373e-01,        +1.264885397183e-01,        +6.784078538705e-03,        +4.101334057827e-02,        -7.474642710545e-02,        +4.104273439738e-02,        -7.469745827477e-02,        +1.414213562373e-01,        +4.101334057827e-02,        -7.474642710545e-02,        +2.055570552890e-01,        +2.918535324984e-02,        -3.248275185252e-02,        -4.738418969880e-02,        +1.414213562373e-01,        +4.104273439738e-02,        -7.469745827477e-02,        -3.248275185252e-02,        -4.738418969880e-02,        +2.055462919593e-01,        +2.928857764814e-02
 1.08800000e+02,        +1.414213562373e-01,        +1.266962136813e-01,        +6.620178962151e-03,        +3.980864129453e-02,        -7.540161981218e-02,        +3.983973111748e-02,        -7.535222596383e-02,        +1.414213562373e-01,        +3.980864129453e-02,        -7.540161981218e-02,        +2.064648872136e-01,        +2.830112790493e-02,        -3.386862114363e-02,        -4.629804100549e-02,        +1.414213562373e-01,        +3.983973111748e-02,        -7.535222596383e-02,        -3.386862114363e-02,        -4.629804100549e-02,        +2.064554632992e-01,        +2.840657453795e-02
 1.10400000e+02,        +1.414213562373e-01,        +1.268987880425e-01,        +6.449740308311e-03,        +3.859278243928e-02,        -7.603737470703e-02,        +3.862560117539e-02,        -7.598760324458e-02,        +1.414213562373e-01,        +3.859278243928e-02,        -7.603737470703e-02,        +2.073444060050e-01,        +2.739384519962e-02,        -3.521858419924e-02,        -4.517395374006e-02,        +1.414213562373e-01,        +3.862560117539e-02,        -7.598760324458e-02,        -3.521858419924e-02,        -4.517395374006e-02,        +2.073363854450e-01,        +2.750148412996e-02
