        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[3][1]| (dB),        arg(S[3][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.),             |S[3][2]| (dB),        arg(S[3][2]) (deg.),             |S[1][3]| (dB),        arg(S[1][3]) (deg.),             |S[2][3]| (dB),        arg(S[2][3]) (deg.),             |S[3][3]| (dB),        arg(S[3][3]) (deg.)
 8.00000000e+01,        -1.663334140811e+01,        +1.560386501284e+02,        -4.408647563233e+00,        -4.564584528126e+01,        -4.410804699198e+00,        -4.562563243706e+01,        -4.408647563233e+00,        -4.564584528126e+01,        -7.445965990777e+00,        +4.155493014760e+01,        -7.567331667392e+00,        -9.431115417238e+01,        -4.410804699198e+00,        -4.562563243706e+01,        -7.567331667392e+00,        -9.431115417238e+01,        -7.442407321726e+00,        +4.161494507378e+01
 8.16000000e+01,        -1.674006007914e+01,        +1.558365789945e+02,        -4.407832362572e+00,        -4.656005425668e+01,        -4.410040895723e+00,        -4.653914623750e+01,        -4.407832362572e+00,        -4.656005425669e+01,        -7.338469688326e+00,        +4.049374681406e+01,        -7.584153379565e+00,        -9.610023164038e+01,        -4.410040895722e+00,        -4.653914623750e+01,        -7.584153379565e+00,        -9.610023164038e+01,        -7.334882166376e+00,        +4.055498943082e+01
 8.32000000e+01,        -1.684884283391e+01,        +1.556516704056e+02,        -4.407009525376e+00,        -4.747469297041e+01,        -4.409268884506e+00,        -4.745308027421e+01,        -4.407009525376e+00,        -4.747469297041e+01,        -7.234664341600e+00,        +3.944094672195e+01,        -7.600801175198e+00,        -9.788686291116e+01,        -4.409268884506e+00,        -4.745308027421e+01,        -7.600801175198e+00,        -9.788686291116e+01,        -7.231047809481e+00,        +3.950341022926e+01
 8.48000000e+01,        -1.695968593340e+01,        +1.554847023000e+02,        -4.406181654977e+00,        -4.838976398220e+01,        -4.408491231690e+00,        -4.836743734676e+01,        -4.406181654977e+00,        -4.838976398220e+01,        -7.134428824746e+00,        +3.839620618355e+01,        -7.617266892243e+00,        -9.967110129405e+01,        -4.408491231690e+00,        -4.836743734676e+01,        -7.617266892243e+00,        -9.967110129405e+01,        -7.130783118799e+00,        +3.845988384759e+01
 8.64000000e+01,        -1.707258177593e+01,        +1.553364917892e+02,        -4.405351339613e+00,        -4.930526936607e+01,        -4.407710490370e+00,        -4.928221976992e+01,        -4.405351339613e+00,        -4.930526936607e+01,        -7.037648271365e+00,        +3.735921918656e+01,        -7.633542594155e+00,        -1.014530011665e+02,        -4.407710490370e+00,        -4.928221976992e+01,        -7.633542594155e+00,        -1.014530011665e+02,        -7.033973223958e+00,        +3.742410432575e+01
 8.80000000e+01,        -1.718751838549e+01,        +1.552078966432e+02,        -4.404521151889e+00,        -5.022121071092e+01,        -4.406929199948e+00,        -5.019742937408e+01,        -4.404521151889e+00,        -5.022121071092e+01,        -6.944213682938e+00,        +3.632969569346e+01,        -7.649620572257e+00,        -1.032326179296e+02,        -4.406929199947e+00,        -5.019742937408e+01,        -7.649620572257e+00,        -1.032326179296e+02,        -6.940509124705e+00,        +3.639578166671e+01
 8.96000000e+01,        -1.730447884353e+01,        +1.550998167127e+02,        -4.403693648093e+00,        -5.113758912184e+01,        -4.406149885329e+00,        -5.111306750624e+01,        -4.403693648093e+00,        -5.113758912184e+01,        -6.854021569425e+00,        +3.530736011811e+01,        -7.665493347730e+00,        -1.050100079696e+02,        -4.406149885329e+00,        -5.111306750624e+01,        -7.665493347730e+00,        -1.050100079696e+02,        -6.850287331347e+00,        +3.537464031488e+01
 9.12000000e+01,        -1.742344065910e+01,        +1.550131952556e+02,        -4.402871367366e+00,        -5.205440522193e+01,        -4.405375056004e+00,        -5.202913503168e+01,        -4.402871367366e+00,        -5.205440522193e+01,        -6.766973619180e+00,        +3.429194995785e+01,        -7.681153673352e+00,        -1.067852286241e+02,        -4.405375056004e+00,        -5.202913503168e+01,        -7.681153673352e+00,        -1.067852286241e+02,        -6.763209534511e+00,        +3.436041778993e+01
 9.28000000e+01,        -1.754437507236e+01,        +1.549490201306e+02,        -4.402056830774e+00,        -5.297165915464e+01,        -4.404607205023e+00,        -5.294563233609e+01,        -4.402056830774e+00,        -5.297165915464e+01,        -6.682976395572e+00,        +3.328321456264e+01,        -7.696594535096e+00,        -1.085583381535e+02,        -4.404607205023e+00,        -5.294563233609e+01,        -7.696594535096e+00,        -1.085583381535e+02,        -6.679182301622e+00,        +3.335286345747e+01
 9.44000000e+01,        -1.766724628581e+01,        +1.549083248130e+02,        -4.401252540288e+00,        -5.388935058654e+01,        -4.403848807889e+00,        -5.386255932835e+01,        -4.401252540288e+00,        -5.388935058654e+01,        -6.601941057986e+00,        +3.228091402556e+01,        -7.711809153614e+00,        -1.103293957169e+02,        -4.403848807889e+00,        -5.386255932835e+01,        -7.711809153614e+00,        -1.103293957169e+02,        -6.598116797770e+00,        +3.235173742079e+01
 9.60000000e+01,        -1.779201061782e+01,        +1.548921891778e+02,        -4.400460977686e+00,        -5.480747871061e+01,        -4.403102321394e+00,        -5.477991544363e+01,        -4.400460977686e+00,        -5.480747871061e+01,        -6.523783105112e+00,        +3.128481818017e+01,        -7.726790985733e+00,        -1.120984613528e+02,        -4.403102321394e+00,        -5.477991544363e+01,        -7.726790985733e+00,        -1.120984613528e+02,        -6.519928528875e+00,        +3.135680951956e+01
 9.76000000e+01,        -1.791861557304e+01,        +1.549017399846e+02,        -4.399684603403e+00,        -5.572604224992e+01,        -4.402370182386e+00,        -5.569769964712e+01,        -4.399684603403e+00,        -5.572604224992e+01,        -6.448422138631e+00,        +3.029470569316e+01,        -7.741533725991e+00,        -1.138655959630e+02,        -4.402370182386e+00,        -5.569769964712e+01,        -7.741533725991e+00,        -1.138655959630e+02,        -6.444537105249e+00,        +3.036785842339e+01
 9.92000000e+01,        -1.804699882442e+01,        +1.549381509892e+02,        -4.398925855329e+00,        -5.664503946162e+01,        -4.401654806513e+00,        -5.661591043797e+01,        -4.398925855329e+00,        -5.664503946162e+01,        -6.375781645607e+00,        +2.931036324129e+01,        -7.756031308278e+00,        -1.156308613020e+02,        -4.401654806513e+00,        -5.661591043797e+01,        -7.756031308278e+00,        -1.156308613020e+02,        -6.371866023884e+00,        +2.938467080982e+01
 1.00800000e+02,        -1.817708710216e+01,        +1.550026425919e+02,        -4.398187147567e+00,        -5.756446814141e+01,        -4.400958586917e+00,        -5.753454585377e+01,        -4.398187147567e+00,        -5.756446814141e+01,        -6.305788798055e+00,        +2.833158476360e+01,        -7.770277907647e+00,        -1.173943199696e+02,        -4.400958586917e+00,        -5.753454585377e+01,        -7.770277907647e+00,        -1.173943199696e+02,        -6.301842467905e+00,        +2.840704061731e+01
 1.02400000e+02,        -1.830879498555e+01,        +1.550964809175e+02,        -4.397470869162e+00,        -5.848432562825e+01,        -4.400283892916e+00,        -5.845360347535e+01,        -4.397470869162e+00,        -5.848432562825e+01,        -6.238374268308e+00,        +2.735817078042e+01,        -7.784267942357e+00,        -1.191560354078e+02,        -4.400283892916e+00,        -5.845360347535e+01,        -7.784267942357e+00,        -1.191560354078e+02,        -6.234397121848e+00,        +2.743476836497e+01
