        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            Re{V[3][1]} (V),            Im{V[3][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V),            Re{V[3][2]} (V),            Im{V[3][2]} (V),            V_inc[3][3] (V),            Re{V[1][3]} (V),            Im{V[1][3]} (V),            Re{V[2][3]} (V),            Im{V[2][3]} (V),            Re{V[3][3]} (V),            Im{V[3][3]} (V)
 8.00000000e+01,        +7.071067811865e+00,        +6.118976918043e+00,        +4.231288409691e-01,        +2.975682579877e+00,        -3.043534834516e+00,        +2.976016911018e+00,        -3.041729376170e+00,        +7.071067811865e+00,        +2.975682579877e+00,        -3.043534834516e+00,        +9.316366496327e+00,        +1.990313245505e+00,        -2.224228802394e-01,        -2.950447210382e+00,        +7.071067811865e+00,        +2.976016911018e+00,        -3.041729376170e+00,        -2.224228802394e-01,        -2.950447210382e+00,        +9.315199743365e+00,        +1.993480584922e+00
 8.16000000e+01,        +7.071067811865e+00,        +6.132083074529e+00,        +4.212761307660e-01,        +2.927018043067e+00,        -3.090915339193e+00,        +2.927401330207e+00,        -3.089061478651e+00,        +7.071067811865e+00,        +2.927018043067e+00,        -3.090915339193e+00,        +9.381256806661e+00,        +1.972651791971e+00,        -3.138197076803e-01,        -2.936372567056e+00,        +7.071067811865e+00,        +2.927401330207e+00,        -3.089061478651e+00,        -3.138197076803e-01,        -2.936372567056e+00,        +9.380100448725e+00,        +1.975935941468e+00
 8.32000000e+01,        +7.071067811865e+00,        +6.145117132208e+00,        +4.190234014109e-01,        +2.877578091194e+00,        -3.137542071330e+00,        +2.878012685950e+00,        -3.135640645403e+00,        +7.071067811865e+00,        +2.877578091194e+00,        -3.137542071330e+00,        +9.445317773222e+00,        +1.953074177525e+00,        -4.044401231333e-01,        -2.919559821863e+00,        +7.071067811865e+00,        +2.878012685950e+00,        -3.135640645403e+00,        -4.044401231333e-01,        -2.919559821863e+00,        +9.444175014993e+00,        +1.956475854757e+00
 8.48000000e+01,        +7.071067811865e+00,        +6.158067865864e+00,        +4.163724761772e-01,        +2.827373012318e+00,        -3.183401182887e+00,        +2.827861256219e+00,        -3.181453129078e+00,        +7.071067811865e+00,        +2.827373012319e+00,        -3.183401182887e+00,        +9.508500172048e+00,        +1.931622316203e+00,        -4.942091171651e-01,        -2.900048949451e+00,        +7.071067811865e+00,        +2.827861256219e+00,        -3.181453129078e+00,        -4.942091171652e-01,        -2.900048949451e+00,        +9.507374261309e+00,        +1.935142109960e+00
 8.64000000e+01,        +7.071067811865e+00,        +6.170924061426e+00,        +4.133254834052e-01,        +2.776413402672e+00,        -3.228478906155e+00,        +2.776957622778e+00,        -3.226485261991e+00,        +7.071067811865e+00,        +2.776413402672e+00,        -3.228478906155e+00,        +9.570756803542e+00,        +1.908338883672e+00,        -5.830536196703e-01,        -2.877881489805e+00,        +7.071067811865e+00,        +2.776957622778e+00,        -3.226485261991e+00,        -5.830536196702e-01,        -2.877881489806e+00,        +9.569651025587e+00,        +1.911977252377e+00
 8.80000000e+01,        +7.071067811865e+00,        +6.183674525006e+00,        +4.098848582233e-01,        +2.724710168628e+00,        -3.272761562471e+00,        +2.725312673254e+00,        -3.270723464687e+00,        +7.071067811865e+00,        +2.724710168628e+00,        -3.272761562471e+00,        +9.632042465337e+00,        +1.883267225689e+00,        -6.709024972043e-01,        -2.853100461909e+00,        +7.071067811865e+00,        +2.725312673254e+00,        -3.270723464687e+00,        -6.709024972043e-01,        -2.853100461908e+00,        +9.630960137344e+00,        +1.887024496176e+00
 8.96000000e+01,        +7.071067811865e+00,        +6.196308092058e+00,        +4.060533440905e-01,        +2.672274528425e+00,        -3.316235571169e+00,        +2.672937602950e+00,        -3.314154254758e+00,        +7.071067811865e+00,        +2.672274528425e+00,        -3.316235571169e+00,        +9.692313921858e+00,        +1.856451270557e+00,        -7.576865473934e-01,        -2.825750280607e+00,        +7.071067811865e+00,        +2.672937602950e+00,        -3.314154254758e+00,        -7.576865473934e-01,        -2.825750280607e+00,        +9.691258387257e+00,        +1.860327637136e+00
 9.12000000e+01,        +7.071067811865e+00,        +6.208813636668e+00,        +4.018339941260e-01,        +2.619118013607e+00,        -3.358887458748e+00,        +2.619843916380e+00,        -3.356764255874e+00,        +7.071067811865e+00,        +2.619118013607e+00,        -3.358887458748e+00,        +9.751529870836e+00,        +1.827935445575e+00,        -8.433384906408e-01,        -2.795876676652e+00,        +7.071067811865e+00,        +2.619843916380e+00,        -3.356764255874e+00,        -8.433384906409e-01,        -2.795876676652e+00,        +9.750504493678e+00,        +1.831930969382e+00
 9.28000000e+01,        +7.071067811865e+00,        +6.221180080968e+00,        +3.972301721990e-01,        +2.565252470176e+00,        -3.400703868237e+00,        +2.566043428506e+00,        -3.398540207027e+00,        +7.071067811865e+00,        +2.565252470176e+00,        -3.400703868237e+00,        +9.809650907039e+00,        +1.797764597462e+00,        -9.277929593628e-01,        -2.763526619879e+00,        +7.071067811865e+00,        +2.566043428506e+00,        -3.398540207027e+00,        -9.277929593628e-01,        -2.763526619879e+00,        +9.808659066399e+00,        +1.801879206082e+00
 9.44000000e+01,        +7.071067811865e+00,        +6.233396404685e+00,        +3.922455537519e-01,        +2.510690059424e+00,        -3.441671568743e+00,        +2.511548265656e+00,        -3.439468971947e+00,        +7.071067811865e+00,        +2.510690059424e+00,        -3.441671568743e+00,        +9.866639483460e+00,        +1.765983916756e+00,        -1.010986484949e+00,        -2.728748245519e+00,        +7.071067811865e+00,        +2.511548265656e+00,        -3.439468971947e+00,        -1.010986484949e+00,        -2.728748245519e+00,        +9.865684567875e+00,        +1.770217404114e+00
 9.60000000e+01,        +7.071067811865e+00,        +6.245451654815e+00,        +3.868841263347e-01,        +2.455443258439e+00,        -3.481777465156e+00,        +2.456370866124e+00,        -3.479537548693e+00,        +7.071067811865e+00,        +2.455443258439e+00,        -3.481777465156e+00,        +9.922459870184e+00,        +1.732638866145e+00,        -1.092857482656e+00,        -2.691590783585e+00,        +7.071067811865e+00,        +2.456370866124e+00,        -3.479537548693e+00,        -1.092857482656e+00,        -2.691590783584e+00,        +9.921545272155e+00,        +1.736990892660e+00
 9.76000000e+01,        +7.071067811865e+00,        +6.257334955409e+00,        +3.811501898284e-01,        +2.399524860277e+00,        -3.521008608003e+00,        +2.400523980412e+00,        -3.518733079386e+00,        +7.071067811865e+00,        +2.399524860277e+00,        -3.521008608003e+00,        +9.977078111161e+00,        +1.697775112728e+00,        -1.173346234613e+00,        -2.652104491309e+00,        +7.071067811865e+00,        +2.400523980412e+00,        -3.518733079386e+00,        -1.173346234613e+00,        -2.652104491309e+00,        +9.976207221733e+00,        +1.702245205711e+00
 9.92000000e+01,        +7.071067811865e+00,        +6.269035517472e+00,        +3.750483563411e-01,        +2.342947973770e+00,        -3.559352203427e+00,        +2.344020671130e+00,        -3.557042860071e+00,        +7.071067811865e+00,        +2.342947973770e+00,        -3.559352203427e+00,        +1.003046197910e+01,        +1.661438464158e+00,        -1.252394871122e+00,        -2.610340588592e+00,        +7.071067811865e+00,        +2.344020671130e+00,        -3.557042860071e+00,        -1.252394871122e+00,        -2.610340588592e+00,        +1.002963818251e+01,        +1.666026018455e+00
 1.00800000e+02,        +7.071067811865e+00,        +6.280542648944e+00,        +3.685835497590e-01,        +2.285726022976e+00,        -3.596795623273e+00,        +2.286874312530e+00,        -3.594454350695e+00,        +7.071067811865e+00,        +2.285726022976e+00,        -3.596795623273e+00,        +1.008258092865e+01,        +1.623674808662e+00,        -1.329947350408e+00,        -2.566351196415e+00,        +7.071067811865e+00,        +2.286874312530e+00,        -3.594454350695e+00,        -1.329947350408e+00,        -2.566351196415e+00,        +1.008180759712e+01,        +1.628379087524e+00
 1.02400000e+02,        +7.071067811865e+00,        +6.291845764771e+00,        +3.617610049415e-01,        +2.227872746265e+00,        -3.633326415266e+00,        +2.229098589668e+00,        -3.630955185171e+00,        +7.071067811865e+00,        +2.227872746265e+00,        -3.633326415266e+00,        +1.013340604812e+01,        +1.584530058868e+00,        -1.405949437001e+00,        -2.520189278167e+00,        +7.071067811865e+00,        +2.229098589669e+00,        -3.630955185171e+00,        -1.405949437001e+00,        -2.520189278167e+00,        +1.013268653672e+01,        +1.589350195038e+00
