        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J),              E_elec[4] (J),               E_mag[4] (J),               E_cap[4] (J),               E_ind[4] (J)
 1.20000000e+02,        +1.032511712335e-12,        +1.446216052342e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.032819383398e-12,        +1.445931388292e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.032646619409e-12,        +1.445613697659e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.032570664251e-12,        +1.446020779319e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.21000000e+02,        +1.046842487321e-12,        +1.456396410149e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.047155181356e-12,        +1.456119498314e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.046975546361e-12,        +1.455799371684e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.046901363113e-12,        +1.456200813101e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.22000000e+02,        +1.061502851449e-12,        +1.466552371940e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.061820586388e-12,        +1.466283211973e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.061633935829e-12,        +1.465960704709e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.061561601168e-12,        +1.466356455557e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.23000000e+02,        +1.076483064659e-12,        +1.476669721032e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.076805846184e-12,        +1.476408291466e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.076612042711e-12,        +1.476083468239e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.076541633479e-12,        +1.476473486937e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.24000000e+02,        +1.091772042937e-12,        +1.486733489020e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.092099863066e-12,        +1.486479745834e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.091898777680e-12,        +1.486152681258e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.091830370757e-12,        +1.486536935445e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.25000000e+02,        +1.107357309135e-12,        +1.496727971625e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.107690144741e-12,        +1.496481846812e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.107481658001e-12,        +1.496152626077e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.107415330167e-12,        +1.496531093070e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.26000000e+02,        +1.123224950022e-12,        +1.506636751794e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.123562761294e-12,        +1.506398151941e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.123346764587e-12,        +1.506066871451e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.123282592365e-12,        +1.506439538681e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.27000000e+02,        +1.139359580755e-12,        +1.516442730582e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.139702309602e-12,        +1.516211535484e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.139478706468e-12,        +1.515878303473e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.139416765956e-12,        +1.516245168906e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.28000000e+02,        +1.155744317976e-12,        +1.526128166280e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.156091886400e-12,        +1.525904227587e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.155860593902e-12,        +1.525569164732e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.155800960588e-12,        +1.525930237251e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.29000000e+02,        +1.172360762784e-12,        +1.535674722157e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.172713071209e-12,        +1.535457862093e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.172474021354e-12,        +1.535121102092e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.172416769920e-12,        +1.535476401849e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+02,        +1.189188994778e-12,        +1.545063523116e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.189545920373e-12,        +1.544853533271e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.189299061553e-12,        +1.544515223392e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.189244265667e-12,        +1.544864782121e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.31000000e+02,        +1.206207578339e-12,        +1.554275221421e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.206568973334e-12,        +1.554071861644e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.206314271797e-12,        +1.553732163228e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.206262003887e-12,        +1.554076024511e-12,        +0.000000000000e+00,        +0.000000000000e+00
