        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            Re{I[3][1]} (A),            Im{I[3][1]} (A),            Re{I[4][1]} (A),            Im{I[4][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A),            Re{I[3][2]} (A),            Im{I[3][2]} (A),            Re{I[4][2]} (A),            Im{I[4][2]} (A),            I_inc[3][3] (A),            Re{I[1][3]} (A),            Im{I[1][3]} (A),            Re{I[2][3]} (A),            Im{I[2][3]} (A),            Re{I[3][3]} (A),            Im{I[3][3]} (A),            Re{I[4][3]} (A),            Im{I[4][3]} (A),            I_inc[4][4] (A),            Re{I[1][4]} (A),            Im{I[1][4]} (A),            Re{I[2][4]} (A),            Im{I[2][4]} (A),            Re{I[3][4]} (A),            Im{I[3][4]} (A),            Re{I[4][4]} (A),            Im{I[4][4]} (A)
 1.20000000e+02,        +1.414213562373e-01,        +1.040306295477e-01,        +5.012028978027e-02,        +2.984313058224e-02,        -5.491425697328e-02,        -4.670492014685e-02,        -7.270601562247e-02,        -4.442725362588e-03,        -4.966740901367e-02,        +1.414213562373e-01,        +2.984313058224e-02,        -5.491425697328e-02,        +1.040076835914e-01,        +5.005763908960e-02,        -4.430526397112e-03,        -4.970806430852e-02,        -4.670937900828e-02,        -7.270638742805e-02,        +1.414213562373e-01,        -4.670492014685e-02,        -7.270601562247e-02,        -4.430526397112e-03,        -4.970806430852e-02,        +1.039866541088e-01,        +5.004143681529e-02,        +2.984553448775e-02,        -5.492100296956e-02,        +1.414213562373e-01,        -4.442725362588e-03,        -4.966740901367e-02,        -4.670937900828e-02,        -7.270638742805e-02,        +2.984553448775e-02,        -5.492100296956e-02,        +1.040197606622e-01,        +5.009454580884e-02
 1.21000000e+02,        +1.414213562373e-01,        +1.053976382719e-01,        +5.011659766535e-02,        +2.966756084006e-02,        -5.541765716073e-02,        -4.847359387034e-02,        -7.205571510577e-02,        -5.192685163764e-03,        -4.917439751927e-02,        +1.414213562373e-01,        +2.966756084006e-02,        -5.541765716073e-02,        +1.053743687563e-01,        +5.005380233923e-02,        -5.181620520970e-03,        -4.921579707808e-02,        -4.847820330361e-02,        -7.205593108341e-02,        +1.414213562373e-01,        -4.847359387034e-02,        -7.205571510577e-02,        -5.181620520970e-03,        -4.921579707808e-02,        +1.053527100534e-01,        +5.003788653899e-02,        +2.966974105248e-02,        -5.542446961674e-02,        +1.414213562373e-01,        -5.192685163764e-03,        -4.917439751927e-02,        -4.847820330361e-02,        -7.205593108341e-02,        +2.966974105248e-02,        -5.542446961674e-02,        +1.053863765466e-01,        +5.009067892746e-02
 1.22000000e+02,        +1.414213562373e-01,        +1.067806902464e-01,        +5.006738681442e-02,        +2.948392084772e-02,        -5.594251170316e-02,        -5.024700692889e-02,        -7.135579149630e-02,        -5.929276194007e-03,        -4.865498122714e-02,        +1.414213562373e-01,        +2.948392084772e-02,        -5.594251170316e-02,        +1.067571117408e-01,        +5.000444951848e-02,        -5.919392189705e-03,        -4.869709764941e-02,        -5.025176480002e-02,        -7.135583966101e-02,        +1.414213562373e-01,        -5.024700692889e-02,        -7.135579149630e-02,        -5.919392189705e-03,        -4.869709764941e-02,        +1.067348228950e-01,        +4.998885060855e-02,        +2.948587233717e-02,        -5.594938138902e-02,        +1.414213562373e-01,        -5.929276194007e-03,        -4.865498122714e-02,        -5.025176480002e-02,        -7.135583966101e-02,        +2.948587233717e-02,        -5.594938138902e-02,        +1.067690286095e-01,        +5.004129928888e-02
 1.23000000e+02,        +1.414213562373e-01,        +1.081781998743e-01,        +4.997115961126e-02,        +2.929065083533e-02,        -5.648918281549e-02,        -5.202360805606e-02,        -7.060492253516e-02,        -6.651025126279e-03,        -4.810894443707e-02,        +1.414213562373e-01,        +2.929065083533e-02,        -5.648918281549e-02,        +1.081543270938e-01,        +4.990808177184e-02,        -6.642368145312e-03,        -4.815174773901e-02,        -5.202851153060e-02,        -7.060479058188e-02,        +1.414213562373e-01,        -5.202360805606e-02,        -7.060492253517e-02,        -6.642368145312e-03,        -4.815174773901e-02,        +1.081314085682e-01,        +4.989283106101e-02,        +2.929236896345e-02,        -5.649610008162e-02,        +1.414213562373e-01,        -6.651025126280e-03,        -4.810894443707e-02,        -5.202851153060e-02,        -7.060479058187e-02,        +2.929236896345e-02,        -5.649610008162e-02,        +1.081661312248e-01,        +4.994490953921e-02
 1.24000000e+02,        +1.414213562373e-01,        +1.095884612648e-01,        +4.982646331572e-02,        +2.908611052517e-02,        -5.705794931381e-02,        -5.380172674788e-02,        -6.980182719389e-02,        -7.356379893860e-03,        -4.753615033997e-02,        +1.414213562373e-01,        +2.908611052517e-02,        -5.705794931381e-02,        +1.095643089672e-01,        +4.976324507625e-02,        -7.348996261804e-03,        -4.757960785833e-02,        -5.380677224075e-02,        -6.980150252526e-02,        +1.414213562373e-01,        -5.380172674788e-02,        -6.980182719389e-02,        -7.348996261804e-03,        -4.757960785833e-02,        +1.095407627135e-01,        +4.974837472019e-02,        +2.908759108273e-02,        -5.706490410383e-02,        +1.414213562373e-01,        -7.356379893860e-03,        -4.753615033997e-02,        -5.380677224075e-02,        -6.980150252526e-02,        +2.908759108273e-02,        -5.706490410383e-02,        +1.095759784746e-01,        +4.980005721081e-02
 1.25000000e+02,        +1.414213562373e-01,        +1.110096472074e-01,        +4.963189992154e-02,        +2.886858152844e-02,        -5.764899681529e-02,        -5.557957211969e-02,        -6.894527561364e-02,        -8.043711980866e-03,        -4.693655087375e-02,        +1.414213562373e-01,        +2.886858152844e-02,        -5.764899681529e-02,        +1.109852300817e-01,        +4.956854010655e-02,        -8.037647823681e-03,        -4.698062717402e-02,        -5.558475524430e-02,        -6.894474537312e-02,        +1.414213562373e-01,        -5.557957211969e-02,        -6.894527561364e-02,        -8.037647823682e-03,        -4.698062717402e-02,        +1.109610596449e-01,        +4.955408305254e-02,        +2.886982077334e-02,        -5.765597868240e-02,        +1.414213562373e-01,        -8.043711980866e-03,        -4.693655087375e-02,        -5.558475524430e-02,        -6.894474537312e-02,        +2.886982077334e-02,        -5.765597868240e-02,        +1.109967431243e-01,        +4.960534458089e-02
 1.26000000e+02,        +1.414213562373e-01,        +1.124398089759e-01,        +4.938613651117e-02,        +2.863627074851e-02,        -5.826240762573e-02,        -5.735523259665e-02,        -6.803409954276e-02,        -8.711319724160e-03,        -4.631019689116e-02,        +1.414213562373e-01,        +2.863627074851e-02,        -5.826240762573e-02,        +1.124151415233e-01,        +4.932263259936e-02,        -8.706620815536e-03,        -4.635485368123e-02,        -5.736054811384e-02,        -6.803335065330e-02,        +1.414213562373e-01,        -5.735523259665e-02,        -6.803409954276e-02,        -8.706620815537e-03,        -4.635485368123e-02,        +1.123903521466e-01,        +4.930862252078e-02,        +2.863726544398e-02,        -5.826940575279e-02,        +1.414213562373e-01,        -8.711319724161e-03,        -4.631019689116e-02,        -5.736054811384e-02,        -6.803335065330e-02,        +2.863726544398e-02,        -5.826940575279e-02,        +1.124264764263e-01,        +4.935943902740e-02
 1.27000000e+02,        +1.414213562373e-01,        +1.138768770539e-01,        +4.908791604238e-02,        +2.838731488302e-02,        -5.889815040287e-02,        -5.912667653084e-02,        -6.706720320706e-02,        -9.357432718625e-03,        -4.565724855126e-02,        +1.414213562373e-01,        +2.838731488302e-02,        -5.889815040287e-02,        +1.138519734607e-01,        +4.902426414985e-02,        -9.354144314930e-03,        -4.570244460192e-02,        -5.913211829813e-02,        -6.706622241576e-02,        +1.414213562373e-01,        -5.912667653084e-02,        -6.706720320706e-02,        -9.354144314930e-03,        -4.570244460192e-02,        +1.138265721915e-01,        +4.901073536971e-02,        +2.838806233562e-02,        -5.890515362635e-02,        +1.414213562373e-01,        -9.357432718626e-03,        -4.565724855126e-02,        -5.913211829813e-02,        -6.706622241576e-02,        +2.838806233562e-02,        -5.890515362635e-02,        +1.138631088466e-01,        +4.906108381666e-02
 1.28000000e+02,        +1.414213562373e-01,        +1.153186628719e-01,        +4.873606848576e-02,        +2.811978611216e-02,        -5.955606970028e-02,        -6.089175383447e-02,        -6.604357453197e-02,        -9.980217412982e-03,        -4.497798582959e-02,        +1.414213562373e-01,        +2.811978611216e-02,        -5.955606970028e-02,        +1.152935368762e-01,        +4.867226336079e-02,        -9.978384075802e-03,        -4.502367690328e-02,        -6.089731475620e-02,        -6.604234846108e-02,        +1.414213562373e-01,        -6.089175383447e-02,        -6.604357453197e-02,        -9.978384075802e-03,        -4.502367690328e-02,        +1.152675326698e-01,        +4.865925076389e-02,        +2.812028420920e-02,        -5.956306653820e-02,        +1.414213562373e-01,        -9.980217412982e-03,        -4.497798582959e-02,        -6.089731475620e-02,        -6.604234846108e-02,        +2.812028420920e-02,        -5.956306653820e-02,        +1.153044518023e-01,        +4.870910924197e-02
 1.29000000e+02,        +1.414213562373e-01,        +1.167628616399e-01,        +4.832952221666e-02,        +2.783169905306e-02,        -6.023587551396e-02,        -6.264819871339e-02,        -6.496229662012e-02,        -1.057778397572e-02,        -4.427281902461e-02,        +1.414213562373e-01,        +2.783169905306e-02,        -6.023587551396e-02,        +1.167375263928e-01,        +4.826555724737e-02,        -1.057744938215e-02,        -4.431895781378e-02,        -6.265387069235e-02,        -6.496081182453e-02,        +1.414213562373e-01,        -6.264819871339e-02,        -6.496229662012e-02,        -1.057744938215e-02,        -4.431895781378e-02,        +1.167109302143e-01,        +4.825309618048e-02,        +2.783194629897e-02,        -6.024285419808e-02,        +1.414213562373e-01,        -1.057778397572e-02,        -4.427281902461e-02,        -6.265387069235e-02,        -6.496081182453e-02,        +2.783194629897e-02,        -6.024285419808e-02,        +1.167482004949e-01,        +4.830244401680e-02
 1.30000000e+02,        +1.414213562373e-01,        +1.182070563524e-01,        +4.786731554925e-02,        +2.752101904946e-02,        -6.093713297145e-02,        -6.439363357672e-02,        -6.382255937170e-02,        -1.114819450027e-02,        -4.354229912071e-02,        +1.414213562373e-01,        +2.752101904946e-02,        -6.093713297146e-02,        +1.181815242735e-01,        +4.780318278530e-02,        -1.114940124125e-02,        -4.358883519739e-02,        -6.439940746811e-02,        -6.382080240327e-02,        +1.414213562373e-01,        -6.439363357672e-02,        -6.382255937170e-02,        -1.114940124125e-02,        -4.358883519739e-02,        +1.181543491966e-01,        +4.779130894507e-02,        +2.752101460073e-02,        -6.094408148361e-02,        +1.414213562373e-01,        -1.114819450027e-02,        -4.354229912071e-02,        -6.439940746811e-02,        -6.382080240327e-02,        +2.752101460073e-02,        -6.094408148361e-02,        +1.181919379168e-01,        +4.784012681004e-02
