        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            Re{V[3][1]} (V),            Im{V[3][1]} (V),            Re{V[4][1]} (V),            Im{V[4][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V),            Re{V[3][2]} (V),            Im{V[3][2]} (V),            Re{V[4][2]} (V),            Im{V[4][2]} (V),            V_inc[3][3] (V),            Re{V[1][3]} (V),            Im{V[1][3]} (V),            Re{V[2][3]} (V),            Im{V[2][3]} (V),            Re{V[3][3]} (V),            Im{V[3][3]} (V),            Re{V[4][3]} (V),            Im{V[4][3]} (V),            V_inc[4][4] (V),            Re{V[1][4]} (V),            Im{V[1][4]} (V),            Re{V[2][4]} (V),            Im{V[2][4]} (V),            Re{V[3][4]} (V),            Im{V[3][4]} (V),            Re{V[4][4]} (V),            Im{V[4][4]} (V)
 1.20000000e+02,        +7.071067811865e+00,        +5.201531477383e+00,        +2.506014489013e+00,        +1.492156529112e+00,        -2.745712848664e+00,        -2.335246007343e+00,        -3.635300781124e+00,        -2.221362681294e-01,        -2.483370450683e+00,        +7.071067811865e+00,        +1.492156529112e+00,        -2.745712848664e+00,        +5.200384179570e+00,        +2.502881954480e+00,        -2.215263198556e-01,        -2.485403215426e+00,        -2.335468950414e+00,        -3.635319371403e+00,        +7.071067811865e+00,        -2.335246007343e+00,        -3.635300781124e+00,        -2.215263198556e-01,        -2.485403215426e+00,        +5.199332705442e+00,        +2.502071840764e+00,        +1.492276724388e+00,        -2.746050148478e+00,        +7.071067811865e+00,        -2.221362681294e-01,        -2.483370450683e+00,        -2.335468950414e+00,        -3.635319371402e+00,        +1.492276724388e+00,        -2.746050148478e+00,        +5.200988033108e+00,        +2.504727290442e+00
 1.21000000e+02,        +7.071067811865e+00,        +5.269881913596e+00,        +2.505829883267e+00,        +1.483378042003e+00,        -2.770882858037e+00,        -2.423679693517e+00,        -3.602785755289e+00,        -2.596342581882e-01,        -2.458719875963e+00,        +7.071067811865e+00,        +1.483378042003e+00,        -2.770882858037e+00,        +5.268718437816e+00,        +2.502690116962e+00,        -2.590810260485e-01,        -2.460789853904e+00,        -2.423910165181e+00,        -3.602796554170e+00,        +7.071067811865e+00,        -2.423679693517e+00,        -3.602785755289e+00,        -2.590810260485e-01,        -2.460789853904e+00,        +5.267635502670e+00,        +2.501894326949e+00,        +1.483487052624e+00,        -2.771223480837e+00,        +7.071067811865e+00,        -2.596342581882e-01,        -2.458719875963e+00,        -2.423910165181e+00,        -3.602796554170e+00,        +1.483487052624e+00,        -2.771223480837e+00,        +5.269318827332e+00,        +2.504533946373e+00
 1.22000000e+02,        +7.071067811865e+00,        +5.339034512319e+00,        +2.503369340721e+00,        +1.474196042386e+00,        -2.797125585158e+00,        -2.512350346445e+00,        -3.567789574815e+00,        -2.964638097003e-01,        -2.432749061357e+00,        +7.071067811865e+00,        +1.474196042386e+00,        -2.797125585158e+00,        +5.337855587038e+00,        +2.500222475924e+00,        -2.959696094852e-01,        -2.434854882471e+00,        -2.512588240001e+00,        -3.567791983050e+00,        +7.071067811865e+00,        -2.512350346445e+00,        -3.567789574815e+00,        -2.959696094852e-01,        -2.434854882471e+00,        +5.336741144748e+00,        +2.499442530427e+00,        +1.474293616858e+00,        -2.797469069451e+00,        +7.071067811865e+00,        -2.964638097004e-01,        -2.432749061357e+00,        -2.512588240001e+00,        -3.567791983050e+00,        +1.474293616858e+00,        -2.797469069451e+00,        +5.338451430477e+00,        +2.502064964444e+00
 1.23000000e+02,        +7.071067811865e+00,        +5.408909993716e+00,        +2.498557980563e+00,        +1.464532541766e+00,        -2.824459140774e+00,        -2.601180402803e+00,        -3.530246126758e+00,        -3.325512563140e-01,        -2.405447221854e+00,        +7.071067811865e+00,        +1.464532541766e+00,        -2.824459140774e+00,        +5.407716354691e+00,        +2.495404088592e+00,        -3.321184072656e-01,        -2.407587386950e+00,        -2.601425576530e+00,        -3.530239529094e+00,        +7.071067811865e+00,        -2.601180402803e+00,        -3.530246126758e+00,        -3.321184072656e-01,        -2.407587386950e+00,        +5.406570428411e+00,        +2.494641553051e+00,        +1.464618448172e+00,        -2.824805004081e+00,        +7.071067811865e+00,        -3.325512563140e-01,        -2.405447221854e+00,        -2.601425576530e+00,        -3.530239529094e+00,        +1.464618448173e+00,        -2.824805004081e+00,        +5.408306561242e+00,        +2.497245476961e+00
 1.24000000e+02,        +7.071067811865e+00,        +5.479423063240e+00,        +2.491323165786e+00,        +1.454305526259e+00,        -2.852897465690e+00,        -2.690086337394e+00,        -3.490091359694e+00,        -3.678189946930e-01,        -2.376807516998e+00,        +7.071067811865e+00,        +1.454305526259e+00,        -2.852897465691e+00,        +5.478215448359e+00,        +2.488162253812e+00,        -3.674498130902e-01,        -2.378980392916e+00,        -2.690338612038e+00,        -3.490075126263e+00,        +7.071067811865e+00,        -2.690086337394e+00,        -3.490091359694e+00,        -3.674498130902e-01,        -2.378980392916e+00,        +5.477038135675e+00,        +2.487418736009e+00,        +1.454379554136e+00,        -2.853245205191e+00,        +7.071067811865e+00,        -3.678189946930e-01,        -2.376807516998e+00,        -2.690338612038e+00,        -3.490075126263e+00,        +1.454379554136e+00,        -2.853245205191e+00,        +5.478798923732e+00,        +2.490002860541e+00
 1.25000000e+02,        +7.071067811865e+00,        +5.550482360369e+00,        +2.481594996077e+00,        +1.443429076422e+00,        -2.882449840764e+00,        -2.778978605984e+00,        -3.447263780682e+00,        -4.021855990433e-01,        -2.346827543687e+00,        +7.071067811865e+00,        +1.443429076422e+00,        -2.882449840764e+00,        +5.549261504087e+00,        +2.478427005327e+00,        -4.018823911840e-01,        -2.349031358701e+00,        -2.779237762215e+00,        -3.447237268656e+00,        +7.071067811865e+00,        -2.778978605984e+00,        -3.447263780682e+00,        -4.018823911841e-01,        -2.349031358701e+00,        +5.548052982243e+00,        +2.477704152627e+00,        +1.443491038667e+00,        -2.882798934120e+00,        +7.071067811865e+00,        -4.021855990433e-01,        -2.346827543687e+00,        -2.779237762215e+00,        -3.447237268656e+00,        +1.443491038667e+00,        -2.882798934120e+00,        +5.549837156213e+00,        +2.480267229044e+00
 1.26000000e+02,        +7.071067811865e+00,        +5.621990448795e+00,        +2.469306825558e+00,        +1.431813537426e+00,        -2.913120381286e+00,        -2.867761629832e+00,        -3.401704977138e+00,        -4.355659862080e-01,        -2.315509844558e+00,        +7.071067811865e+00,        +1.431813537426e+00,        -2.913120381286e+00,        +5.620757076164e+00,        +2.466131629968e+00,        -4.353310407768e-01,        -2.317742684061e+00,        -2.868027405692e+00,        -3.401667532665e+00,        +7.071067811865e+00,        -2.867761629833e+00,        -3.401704977138e+00,        -4.353310407768e-01,        -2.317742684061e+00,        +5.619517607332e+00,        +2.465431126039e+00,        +1.431863272199e+00,        -2.913470287640e+00,        +7.071067811865e+00,        -4.355659862080e-01,        -2.315509844558e+00,        -2.868027405692e+00,        -3.401667532665e+00,        +1.431863272199e+00,        -2.913470287640e+00,        +5.621323821314e+00,        +2.467971951370e+00
 1.27000000e+02,        +7.071067811865e+00,        +5.693843852697e+00,        +2.454395802119e+00,        +1.419365744151e+00,        -2.944907520144e+00,        -2.956333826542e+00,        -3.353360160353e+00,        -4.678716359313e-01,        -2.282862427563e+00,        +7.071067811865e+00,        +1.419365744151e+00,        -2.944907520144e+00,        +5.692598673034e+00,        +2.451213207492e+00,        -4.677072157465e-01,        -2.285122230096e+00,        -2.956605914907e+00,        -3.353311120788e+00,        +7.071067811865e+00,        -2.956333826542e+00,        -3.353360160353e+00,        -4.677072157465e-01,        -2.285122230096e+00,        +5.691328609575e+00,        +2.450536768486e+00,        +1.419403116781e+00,        -2.945257681317e+00,        +7.071067811865e+00,        -4.678716359313e-01,        -2.282862427563e+00,        -2.956605914907e+00,        -3.353311120788e+00,        +1.419403116781e+00,        -2.945257681317e+00,        +5.693155442331e+00,        +2.453054190833e+00
 1.28000000e+02,        +7.071067811865e+00,        +5.765933143595e+00,        +2.436803424288e+00,        +1.405989305608e+00,        -2.977803485014e+00,        -3.044587691724e+00,        -3.302178726598e+00,        -4.990108706491e-01,        -2.248899291479e+00,        +7.071067811865e+00,        +1.405989305608e+00,        -2.977803485014e+00,        +5.764676843812e+00,        +2.433613168039e+00,        -4.989192037901e-01,        -2.251183845164e+00,        -3.044865737810e+00,        -3.302117423054e+00,        +7.071067811865e+00,        -3.044587691723e+00,        -3.302178726598e+00,        -4.989192037901e-01,        -2.251183845164e+00,        +5.763376633490e+00,        +2.432962538194e+00,        +1.406014210460e+00,        -2.978153326910e+00,        +7.071067811865e+00,        -4.990108706491e-01,        -2.248899291479e+00,        -3.044865737810e+00,        -3.302117423054e+00,        +1.406014210460e+00,        -2.978153326910e+00,        +5.765222590113e+00,        +2.435455462099e+00
 1.29000000e+02,        +7.071067811865e+00,        +5.838143081997e+00,        +2.416476110833e+00,        +1.391584952653e+00,        -3.011793775698e+00,        -3.132409935669e+00,        -3.248114831006e+00,        -5.288891987861e-01,        -2.213640951230e+00,        +7.071067811865e+00,        +1.391584952653e+00,        -3.011793775698e+00,        +5.836876319639e+00,        +2.413277862368e+00,        -5.288724691074e-01,        -2.215947890689e+00,        -3.132693534618e+00,        -3.248040591227e+00,        +7.071067811865e+00,        -3.132409935669e+00,        -3.248114831006e+00,        -5.288724691074e-01,        -2.215947890689e+00,        +5.835546510713e+00,        +2.412654809024e+00,        +1.391597314949e+00,        -3.012142709904e+00,        +7.071067811865e+00,        -5.288891987861e-01,        -2.213640951230e+00,        -3.132693534618e+00,        -3.248040591227e+00,        +1.391597314949e+00,        -3.012142709904e+00,        +5.837410024747e+00,        +2.415122200840e+00
