        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 1.20000000e+02,        +1.630436984008e-12,        +1.775486472909e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.632670656703e-12,        +1.778855230563e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.21000000e+02,        +1.635859777504e-12,        +1.805612579124e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.638243402825e-12,        +1.809157216995e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.22000000e+02,        +1.643401744689e-12,        +1.837457163189e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.645945340301e-12,        +1.841187571259e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.23000000e+02,        +1.653264702594e-12,        +1.871223926045e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.655979112784e-12,        +1.875150721248e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.24000000e+02,        +1.665685524741e-12,        +1.907149718540e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.668582526088e-12,        +1.911284327372e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.25000000e+02,        +1.680943936406e-12,        +1.945511855228e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.684036359363e-12,        +1.949866607991e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.26000000e+02,        +1.699372497353e-12,        +1.986637460500e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.702674366915e-12,        +1.991225699280e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.27000000e+02,        +1.721369513341e-12,        +2.030915529548e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.724896212706e-12,        +2.035751732426e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.28000000e+02,        +1.747415912186e-12,        +2.078812655231e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.751184374226e-12,        +2.083912579770e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.29000000e+02,        +1.778097548325e-12,        +2.130893761269e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.782126480926e-12,        +2.136274610905e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+02,        +1.814135029459e-12,        +2.187849752557e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.818445182189e-12,        +2.193530370198e-12,        +0.000000000000e+00,        +0.000000000000e+00
