        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 1.20000000e+02,        +1.414213562373e-01,        +1.249118458652e-02,        +2.347606331214e-02,        -2.216208894417e-04,        -5.518818760873e-04,        +1.414213562373e-01,        -2.216208894352e-04,        -5.518818760827e-04,        +1.251539173115e-02,        +2.359799770453e-02
 1.21000000e+02,        +1.414213562373e-01,        +1.328355632616e-02,        +2.643999464919e-02,        -2.533842122791e-04,        -5.731622928761e-04,        +1.414213562373e-01,        -2.533842122885e-04,        -5.731622928774e-04,        +1.331246509983e-02,        +2.656596364401e-02
 1.22000000e+02,        +1.414213562373e-01,        +1.416341093388e-02,        +2.941340879618e-02,        -2.894695190546e-04,        -5.966632781073e-04,        +1.414213562373e-01,        -2.894695190570e-04,        -5.966632781041e-04,        +1.419739148644e-02,        +2.954352383226e-02
 1.23000000e+02,        +1.414213562373e-01,        +1.513461625557e-02,        +3.239646913793e-02,        -3.307079881219e-04,        -6.225985620814e-04,        +1.414213562373e-01,        -3.307079881146e-04,        -6.225985620711e-04,        +1.517407075289e-02,        +3.253083395914e-02
 1.24000000e+02,        +1.414213562373e-01,        +1.620158059158e-02,        +3.538930265029e-02,        -3.781126329831e-04,        -6.511873577180e-04,        +1.414213562373e-01,        -3.781126329779e-04,        -6.511873577256e-04,        +1.624694600938e-02,        +3.552801090482e-02
 1.25000000e+02,        +1.414213562373e-01,        +1.736934399860e-02,        +3.839197467494e-02,        -4.329242877635e-04,        -6.826459975923e-04,        +1.414213562373e-01,        -4.329242877583e-04,        -6.826459975940e-04,        +1.742109521102e-02,        +3.853510701789e-02
 1.26000000e+02,        +1.414213562373e-01,        +1.864369022989e-02,        +4.140445398127e-02,        -4.966708850495e-04,        -7.171741283577e-04,        +1.414213562373e-01,        -4.966708850472e-04,        -7.171741283684e-04,        +1.870234342640e-02,        +4.155207455439e-02
 1.27000000e+02,        +1.414213562373e-01,        +2.003128502853e-02,        +4.442656395801e-02,        -5.712443324789e-04,        -7.549325170555e-04,        +1.414213562373e-01,        -5.712443324762e-04,        -7.549325170577e-04,        +2.009740149003e-02,        +4.457871608281e-02
 1.28000000e+02,        +1.414213562373e-01,        +2.153984831191e-02,        +4.745791377927e-02,        -6.590008158157e-04,        -7.960079043460e-04,        +1.414213562373e-01,        -6.590008158398e-04,        -7.960079043384e-04,        +2.161403857403e-02,        +4.761461464868e-02
 1.29000000e+02,        +1.414213562373e-01,        +2.317837023504e-02,        +5.049780031073e-02,        -7.628924333957e-04,        -8.403577696595e-04,        +1.414213562373e-01,        -7.628924333943e-04,        -8.403577696744e-04,        +2.326129865619e-02,        +5.065903439373e-02
 1.30000000e+02,        +1.414213562373e-01,        +2.495738439335e-02,        +5.354506670480e-02,        -8.866408832736e-04,        -8.877237466665e-04,        +1.414213562373e-01,        -8.866408832664e-04,        -8.877237466770e-04,        +2.504977412236e-02,        +5.371077748240e-02
 1.31000000e+02,        +1.414213562373e-01,        +2.688931574286e-02,        +5.659789598392e-02,        -1.034967684256e-03,        -9.374957189631e-04,        +1.414213562373e-01,        -1.034967684245e-03,        -9.374957189678e-04,        +2.699195403688e-02,        +5.676797549833e-02
 1.32000000e+02,        +1.414213562373e-01,        +2.898892634998e-02,        +5.965350556974e-02,        -1.213900267105e-03,        -9.884975789455e-04,        +1.414213562373e-01,        -1.213900267113e-03,        -9.884975789371e-04,        +2.910267011368e-02,        +5.982778107859e-02
 1.33000000e+02,        +1.414213562373e-01,        +3.127388875463e-02,        +6.270768848746e-02,        -1.431179127675e-03,        -1.038647196036e-03,        +1.414213562373e-01,        -1.431179127669e-03,        -1.038647196042e-03,        +3.139967002039e-02,        +6.288590524387e-02
 1.34000000e+02,        +1.414213562373e-01,        +3.376552366644e-02,        +6.575411329671e-02,        -1.696797201048e-03,        -1.084411963813e-03,        +1.414213562373e-01,        -1.696797201058e-03,        -1.084411963813e-03,        +3.390435446172e-02,        +6.593591209272e-02
