        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 1.20000000e+02,        +7.071067811865e+00,        +6.245592293259e-01,        +1.173803165607e+00,        -1.108104447209e-02,        -2.759409380436e-02,        +7.071067811865e+00,        -1.108104447176e-02,        -2.759409380413e-02,        +6.257695865575e-01,        +1.179899885226e+00
 1.21000000e+02,        +7.071067811865e+00,        +6.641778163081e-01,        +1.321999732460e+00,        -1.266921061395e-02,        -2.865811464380e-02,        +7.071067811865e+00,        -1.266921061442e-02,        -2.865811464387e-02,        +6.656232549913e-01,        +1.328298182201e+00
 1.22000000e+02,        +7.071067811865e+00,        +7.081705466938e-01,        +1.470670439809e+00,        -1.447347595273e-02,        -2.983316390536e-02,        +7.071067811865e+00,        -1.447347595285e-02,        -2.983316390521e-02,        +7.098695743221e-01,        +1.477176191613e+00
 1.23000000e+02,        +7.071067811865e+00,        +7.567308127783e-01,        +1.619823456896e+00,        -1.653539940609e-02,        -3.112992810407e-02,        +7.071067811865e+00,        -1.653539940573e-02,        -3.112992810356e-02,        +7.587035376443e-01,        +1.626541697957e+00
 1.24000000e+02,        +7.071067811865e+00,        +8.100790295789e-01,        +1.769465132515e+00,        -1.890563164916e-02,        -3.255936788590e-02,        +7.071067811865e+00,        -1.890563164890e-02,        -3.255936788628e-02,        +8.123473004689e-01,        +1.776400545241e+00
 1.25000000e+02,        +7.071067811865e+00,        +8.684671999299e-01,        +1.919598733747e+00,        -2.164621438818e-02,        -3.413229987962e-02,        +7.071067811865e+00,        -2.164621438791e-02,        -3.413229987970e-02,        +8.710547605508e-01,        +1.926755350895e+00
 1.26000000e+02,        +7.071067811865e+00,        +9.321845114946e-01,        +2.070222699063e+00,        -2.483354425248e-02,        -3.585870641788e-02,        +7.071067811865e+00,        -2.483354425236e-02,        -3.585870641842e-02,        +9.351171713199e-01,        +2.077603727720e+00
 1.27000000e+02,        +7.071067811865e+00,        +1.001564251427e+00,        +2.221328197900e+00,        -2.856221662394e-02,        -3.774662585278e-02,        +7.071067811865e+00,        -2.856221662381e-02,        -3.774662585289e-02,        +1.004870074501e+00,        +2.228935804140e+00
 1.28000000e+02,        +7.071067811865e+00,        +1.076992415595e+00,        +2.372895688964e+00,        -3.295004079079e-02,        -3.980039521730e-02,        +7.071067811865e+00,        -3.295004079199e-02,        -3.980039521692e-02,        +1.080701928701e+00,        +2.380730732434e+00
 1.29000000e+02,        +7.071067811865e+00,        +1.158918511752e+00,        +2.524890015537e+00,        -3.814462166978e-02,        -4.201788848298e-02,        +7.071067811865e+00,        -3.814462166972e-02,        -4.201788848372e-02,        +1.163064932810e+00,        +2.532951719687e+00
