        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J)
 1.20000000e+02,        +7.296994660580e-13,        +8.407195639806e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.485800679558e-13,        +1.007205541466e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.489295918780e-13,        +1.007057424621e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.21000000e+02,        +7.324100005020e-13,        +8.391563133393e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.511829189183e-13,        +1.001744598372e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.515323391346e-13,        +1.001601782102e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.22000000e+02,        +7.351067165626e-13,        +8.375893037428e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.537737436631e-13,        +9.963911389828e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.541230183137e-13,        +9.962536051251e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.23000000e+02,        +7.377888750914e-13,        +8.360187268008e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.563531552915e-13,        +9.911440082390e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.567022448950e-13,        +9.910117380238e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.24000000e+02,        +7.404557394293e-13,        +8.344447780836e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.589217783437e-13,        +9.860020645226e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.592706458449e-13,        +9.858750386481e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.25000000e+02,        +7.431065757808e-13,        +8.328676570498e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.614802489939e-13,        +9.809641811565e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.618288598142e-13,        +9.808423798681e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.26000000e+02,        +7.457406535930e-13,        +8.312875669702e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.640292152907e-13,        +9.760292478948e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.643775373808e-13,        +9.759126510674e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.27000000e+02,        +7.483572459364e-13,        +8.297047148491e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.665693374466e-13,        +9.711961724073e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.669173413441e-13,        +9.710847596310e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.28000000e+02,        +7.509556298891e-13,        +8.281193113421e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.691012881792e-13,        +9.664638817665e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.694489470689e-13,        +9.663576324358e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.29000000e+02,        +7.535350869237e-13,        +8.265315706711e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.716257531063e-13,        +9.618313239403e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.719730428850e-13,        +9.617302173481e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+02,        +7.560949032951e-13,        +8.249417105365e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.741434311996e-13,        +9.572974692988e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.744903305459e-13,        +9.572014847344e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.31000000e+02,        +7.586343704310e-13,        +8.233499520259e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.766550352990e-13,        +9.528613121418e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.770015257481e-13,        +9.527704289935e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.32000000e+02,        +7.611527853223e-13,        +8.217565195202e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.791612926943e-13,        +9.485218722523e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.795073587182e-13,        +9.484360701157e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.33000000e+02,        +7.636494509156e-13,        +8.201616405964e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.816629457763e-13,        +9.442781964860e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.820085748701e-13,        +9.441974552784e-13,        +0.000000000000e+00,        +0.000000000000e+00
