        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            Re{I[3][1]} (A),            Im{I[3][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A),            Re{I[3][2]} (A),            Im{I[3][2]} (A),            I_inc[3][3] (A),            Re{I[1][3]} (A),            Im{I[1][3]} (A),            Re{I[2][3]} (A),            Im{I[2][3]} (A),            Re{I[3][3]} (A),            Im{I[3][3]} (A)
 1.20000000e+02,        +1.414213562373e-01,        +1.385718811108e-01,        +1.605707534363e-02,        +3.625981383060e-02,        -8.816998567896e-02,        +3.627773616576e-02,        -8.819884972201e-02,        +1.414213562373e-01,        +3.625981383059e-02,        -8.816998567896e-02,        +2.069309796132e-01,        +2.196334109963e-02,        -5.064706296991e-02,        -4.123882745015e-02,        +1.414213562373e-01,        +3.627773616576e-02,        -8.819884972201e-02,        -5.064706296991e-02,        -4.123882745016e-02,        +2.068806106356e-01,        +2.191751707779e-02
 1.21000000e+02,        +1.414213562373e-01,        +1.388905902175e-01,        +1.571144638533e-02,        +3.536240294499e-02,        -8.856326523315e-02,        +3.537973589356e-02,        -8.859256160629e-02,        +1.414213562373e-01,        +3.536240294499e-02,        -8.856326523315e-02,        +2.072546875838e-01,        +2.123691437269e-02,        -5.129670635066e-02,        -4.027094148734e-02,        +1.414213562373e-01,        +3.537973589356e-02,        -8.859256160628e-02,        -5.129670635066e-02,        -4.027094148734e-02,        +2.072036504133e-01,        +2.119129237056e-02
 1.22000000e+02,        +1.414213562373e-01,        +1.392024706713e-01,        +1.535914601154e-02,        +3.445983053595e-02,        -8.894711701289e-02,        +3.447656111978e-02,        -8.897683132567e-02,        +1.414213562373e-01,        +3.445983053595e-02,        -8.894711701289e-02,        +2.075665572596e-01,        +2.050924618798e-02,        -5.192940426795e-02,        -3.929517981186e-02,        +1.414213562373e-01,        +3.447656111978e-02,        -8.897683132566e-02,        -5.192940426795e-02,        -3.929517981186e-02,        +2.075148585037e-01,        +2.046383811036e-02
 1.23000000e+02,        +1.414213562373e-01,        +1.395073773122e-01,        +1.500030435813e-02,        +3.355220269830e-02,        -8.932144838305e-02,        +3.356831827919e-02,        -8.935156587728e-02,        +1.414213562373e-01,        +3.355220269831e-02,        -8.932144838305e-02,        +2.078667146932e-01,        +1.978046526014e-02,        -5.254513866935e-02,        -3.831176907618e-02,        +1.414213562373e-01,        +3.356831827919e-02,        -8.935156587728e-02,        -5.254513866935e-02,        -3.831176907618e-02,        +2.078143612434e-01,        +1.973528274745e-02
 1.24000000e+02,        +1.414213562373e-01,        +1.398051673974e-01,        +1.463505505178e-02,        +3.263962777898e-02,        -8.968616806921e-02,        +3.265511606576e-02,        -8.971667362635e-02,        +1.414213562373e-01,        +3.263962777898e-02,        -8.968616806921e-02,        +2.081552842173e-01,        +1.905069411744e-02,        -5.314389158835e-02,        -3.732093316405e-02,        +1.414213562373e-01,        +3.265511606576e-02,        -8.971667362635e-02,        -5.314389158835e-02,        -3.732093316404e-02,        +2.081022832395e-01,        +1.900574853687e-02
 1.25000000e+02,        +1.414213562373e-01,        +1.400957006984e-01,        +1.426353516768e-02,        +3.172221635693e-02,        -9.004118622365e-02,        +3.173706541229e-02,        -9.007206437213e-02,        +1.414213562373e-01,        +3.172221635693e-02,        -9.004118622365e-02,        +2.084323882736e-01,        +1.832004926067e-02,        -5.372564506489e-02,        -3.632289331996e-02,        +1.414213562373e-01,        +3.173706541229e-02,        -9.007206437213e-02,        -5.372564506488e-02,        -3.632289331996e-02,        +2.083787471987e-01,        +1.827535169744e-02
 1.26000000e+02,        +1.414213562373e-01,        +1.403788395985e-01,        +1.388588518389e-02,        +3.080008122083e-02,        -9.038641449111e-02,        +3.081427946798e-02,        -9.041764941354e-02,        +1.414213562373e-01,        +3.080008122083e-02,        -9.038641449112e-02,        +2.086981472461e-01,        +1.758864132251e-02,        -5.429038106981e-02,        -3.531786827636e-02,        +1.414213562373e-01,        +3.081427946797e-02,        -9.041764941354e-02,        -5.429038106981e-02,        -3.531786827635e-02,        +2.086438737595e-01,        +1.754420257136e-02
 1.27000000e+02,        +1.414213562373e-01,        +1.406544491882e-01,        +1.350224893269e-02,        +2.987333734468e-02,        -9.072176607425e-02,        +2.988687357378e-02,        -9.075334161451e-02,        +1.414213562373e-01,        +2.987333734468e-02,        -9.072176607425e-02,        +2.089526792981e-01,        +1.685657522767e-02,        -5.483808143318e-02,        -3.430607437854e-02,        +1.414213562373e-01,        +2.988687357378e-02,        -9.075334161451e-02,        -5.483808143318e-02,        -3.430607437854e-02,        +2.088977813299e-01,        +1.681240578436e-02
 1.28000000e+02,        +1.414213562373e-01,        +1.409223973608e-01,        +1.311277354863e-02,        +2.894210186117e-02,        -9.104715579863e-02,        +2.895496523567e-02,        -9.107905546890e-02,        +1.414213562373e-01,        +2.894210186117e-02,        -9.104715579863e-02,        +2.091961002134e-01,        +1.612395035344e-02,        -5.536872777577e-02,        -3.328772570739e-02,        +1.414213562373e-01,        +2.895496523567e-02,        -9.107905546890e-02,        -5.536872777576e-02,        -3.328772570740e-02,        +2.091405859279e-01,        +1.608006040649e-02
 1.29000000e+02,        +1.414213562373e-01,        +1.411825549067e-01,        +1.271760941353e-02,        +2.800649403292e-02,        -9.136250017728e-02,        +2.801867409571e-02,        -9.139470716493e-02,        +1.414213562373e-01,        +2.800649403292e-02,        -9.136250017728e-02,        +2.094285232401e-01,        +1.539086069108e-02,        -5.588230144345e-02,        -3.226303419977e-02,        +1.414213562373e-01,        +2.801867409572e-02,        -9.139470716493e-02,        -5.588230144344e-02,        -3.226303419978e-02,        +2.093724010255e-01,        +1.534726011357e-02
