        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            Re{V[3][1]} (V),            Im{V[3][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V),            Re{V[3][2]} (V),            Im{V[3][2]} (V),            V_inc[3][3] (V),            Re{V[1][3]} (V),            Im{V[1][3]} (V),            Re{V[2][3]} (V),            Im{V[2][3]} (V),            Re{V[3][3]} (V),            Im{V[3][3]} (V)
 1.20000000e+02,        +7.071067811865e+00,        +6.928594055540e+00,        +8.028537671816e-01,        +1.812990691530e+00,        -4.408499283948e+00,        +1.813886808288e+00,        -4.409942486101e+00,        +7.071067811865e+00,        +1.812990691530e+00,        -4.408499283948e+00,        +1.034654898066e+01,        +1.098167054981e+00,        -2.532353148496e+00,        -2.061941372508e+00,        +7.071067811865e+00,        +1.813886808288e+00,        -4.409942486101e+00,        -2.532353148496e+00,        -2.061941372508e+00,        +1.034403053178e+01,        +1.095875853889e+00
 1.21000000e+02,        +7.071067811865e+00,        +6.944529510875e+00,        +7.855723192663e-01,        +1.768120147249e+00,        -4.428163261658e+00,        +1.768986794678e+00,        -4.429628080314e+00,        +7.071067811865e+00,        +1.768120147249e+00,        -4.428163261658e+00,        +1.036273437919e+01,        +1.061845718635e+00,        -2.564835317533e+00,        -2.013547074367e+00,        +7.071067811865e+00,        +1.768986794678e+00,        -4.429628080314e+00,        -2.564835317533e+00,        -2.013547074367e+00,        +1.036018252067e+01,        +1.059564618528e+00
 1.22000000e+02,        +7.071067811865e+00,        +6.960123533567e+00,        +7.679573005772e-01,        +1.722991526798e+00,        -4.447355850644e+00,        +1.723828055989e+00,        -4.448841566283e+00,        +7.071067811865e+00,        +1.722991526797e+00,        -4.447355850644e+00,        +1.037832786298e+01,        +1.025462309399e+00,        -2.596470213398e+00,        -1.964758990593e+00,        +7.071067811865e+00,        +1.723828055989e+00,        -4.448841566283e+00,        -2.596470213397e+00,        -1.964758990593e+00,        +1.037574292519e+01,        +1.023191905518e+00
 1.23000000e+02,        +7.071067811865e+00,        +6.975368865612e+00,        +7.500152179065e-01,        +1.677610134915e+00,        -4.466072419152e+00,        +1.678415913960e+00,        -4.467578293864e+00,        +7.071067811865e+00,        +1.677610134915e+00,        -4.466072419152e+00,        +1.039333573466e+01,        +9.890232630069e-01,        -2.627256933467e+00,        -1.915588453809e+00,        +7.071067811865e+00,        +1.678415913960e+00,        -4.467578293864e+00,        -2.627256933468e+00,        -1.915588453809e+00,        +1.039071806217e+01,        +9.867641373726e-01
 1.24000000e+02,        +7.071067811865e+00,        +6.990258369868e+00,        +7.317527525891e-01,        +1.631981388949e+00,        -4.484308403460e+00,        +1.632755803288e+00,        -4.485833681318e+00,        +7.071067811865e+00,        +1.631981388949e+00,        -4.484308403460e+00,        +1.040776421086e+01,        +9.525347058720e-01,        -2.657194579418e+00,        -1.866046658202e+00,        +7.071067811865e+00,        +1.632755803288e+00,        -4.485833681317e+00,        -2.657194579418e+00,        -1.866046658202e+00,        +1.040511416198e+01,        +9.502874268434e-01
 1.25000000e+02,        +7.071067811865e+00,        +7.004785034921e+00,        +7.131767583839e-01,        +1.586110817846e+00,        -4.502059311182e+00,        +1.586853270615e+00,        -4.503603218606e+00,        +7.071067811865e+00,        +1.586110817846e+00,        -4.502059311182e+00,        +1.042161941368e+01,        +9.160024630335e-01,        -2.686282253244e+00,        -1.816144665998e+00,        +7.071067811865e+00,        +1.586853270615e+00,        -4.503603218607e+00,        -2.686282253244e+00,        -1.816144665998e+00,        +1.041893735993e+01,        +9.137675848719e-01
 1.26000000e+02,        +7.071067811865e+00,        +7.018941979924e+00,        +6.942942591947e-01,        +1.540004061042e+00,        -4.519320724556e+00,        +1.540713973399e+00,        -4.520882470677e+00,        +7.071067811865e+00,        +1.540004061042e+00,        -4.519320724556e+00,        +1.043490736231e+01,        +8.794320661257e-01,        -2.714519053490e+00,        -1.765893413818e+00,        +7.071067811865e+00,        +1.540713973399e+00,        -4.520882470677e+00,        -2.714519053490e+00,        -1.765893413818e+00,        +1.043219368797e+01,        +8.772101285679e-01
 1.27000000e+02,        +7.071067811865e+00,        +7.032722459408e+00,        +6.751124466346e-01,        +1.493666867234e+00,        -4.536088303713e+00,        +1.494343678689e+00,        -4.537667080725e+00,        +7.071067811865e+00,        +1.493666867234e+00,        -4.536088303713e+00,        +1.044763396491e+01,        +8.428287613834e-01,        -2.741904071659e+00,        -1.715303718927e+00,        +7.071067811865e+00,        +1.494343678689e+00,        -4.537667080725e+00,        -2.741904071659e+00,        -1.715303718927e+00,        +1.044488906650e+01,        +8.406202892179e-01
 1.28000000e+02,        +7.071067811865e+00,        +7.046119868040e+00,        +6.556386774314e-01,        +1.447105093058e+00,        -4.552357789931e+00,        +1.447748261783e+00,        -4.553952773445e+00,        +7.071067811865e+00,        +1.447105093058e+00,        -4.552357789931e+00,        +1.045980501067e+01,        +8.061975176718e-01,        -2.768436388788e+00,        -1.664386285370e+00,        +7.071067811865e+00,        +1.447748261784e+00,        -4.553952773445e+00,        -2.768436388788e+00,        -1.664386285370e+00,        +1.045702929640e+01,        +8.040030203246e-01
 1.29000000e+02,        +7.071067811865e+00,        +7.059127745337e+00,        +6.358804706763e-01,        +1.400324701646e+00,        -4.568125008864e+00,        +1.400933704786e+00,        -4.569735358247e+00,        +7.071067811865e+00,        +1.400324701646e+00,        -4.568125008864e+00,        +1.047142616201e+01,        +7.695430345542e-01,        -2.794115072173e+00,        -1.613151709989e+00,        +7.071067811865e+00,        +1.400933704786e+00,        -4.569735358246e+00,        -2.794115072172e+00,        -1.613151709989e+00,        +1.046862005127e+01,        +7.673630056783e-01
